alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.044472
iteration:1, time[s]:0.033252
iteration:2, time[s]:0.027907
iteration:3, time[s]:0.026040
iteration:4, time[s]:0.025289
iteration:5, time[s]:0.022028
iteration:6, time[s]:0.023888
iteration:7, time[s]:0.026107
iteration:8, time[s]:0.026076
iteration:9, time[s]:0.025506
iteration:10, time[s]:0.030076
iteration:11, time[s]:0.029999
iteration:12, time[s]:0.026387
iteration:13, time[s]:0.029264
iteration:14, time[s]:0.029244
iteration:15, time[s]:0.036897
iteration:16, time[s]:0.029115
iteration:17, time[s]:0.023977
iteration:18, time[s]:0.026049
iteration:19, time[s]:0.025356
iteration:20, time[s]:0.026781
iteration:21, time[s]:0.033340
iteration:22, time[s]:0.033150
iteration:23, time[s]:0.029604
iteration:24, time[s]:0.028639
iteration:25, time[s]:0.029281
iteration:26, time[s]:0.027886
iteration:27, time[s]:0.028192
iteration:28, time[s]:0.028671
iteration:29, time[s]:0.029259
iteration:30, time[s]:0.024740
iteration:31, time[s]:0.027374
iteration:32, time[s]:0.027379
iteration:33, time[s]:0.024244
iteration:34, time[s]:0.023927
iteration:35, time[s]:0.027056
iteration:36, time[s]:0.028975
iteration:37, time[s]:0.026445
iteration:38, time[s]:0.024235
iteration:39, time[s]:0.026843
iteration:40, time[s]:0.032273
iteration:41, time[s]:0.026080
iteration:42, time[s]:0.023438
iteration:43, time[s]:0.026490
iteration:44, time[s]:0.030002
iteration:45, time[s]:0.029770
iteration:46, time[s]:0.022669
iteration:47, time[s]:0.023065
iteration:48, time[s]:0.028354
iteration:49, time[s]:0.023035
iteration:50, time[s]:0.029061
iteration:51, time[s]:0.027681
iteration:52, time[s]:0.028065
iteration:53, time[s]:0.026848
iteration:54, time[s]:0.034672
iteration:55, time[s]:0.031018
iteration:56, time[s]:0.029892
iteration:57, time[s]:0.025531
iteration:58, time[s]:0.028357
iteration:59, time[s]:0.031668
iteration:60, time[s]:0.030047
iteration:61, time[s]:0.025562
iteration:62, time[s]:0.023300
iteration:63, time[s]:0.024542
iteration:64, time[s]:0.023945
iteration:65, time[s]:0.023870
iteration:66, time[s]:0.022711
iteration:67, time[s]:0.024260
iteration:68, time[s]:0.027084
iteration:69, time[s]:0.025018
iteration:70, time[s]:0.027270
iteration:71, time[s]:0.032191
iteration:72, time[s]:0.031665
iteration:73, time[s]:0.029640
iteration:74, time[s]:0.031900
iteration:75, time[s]:0.029584
iteration:76, time[s]:0.028415
iteration:77, time[s]:0.026373
iteration:78, time[s]:0.026616
iteration:79, time[s]:0.022534
