alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.059938
iteration:1, time[s]:0.046104
iteration:2, time[s]:0.034991
iteration:3, time[s]:0.035187
iteration:4, time[s]:0.039302
iteration:5, time[s]:0.035163
iteration:6, time[s]:0.036151
iteration:7, time[s]:0.038768
iteration:8, time[s]:0.039560
iteration:9, time[s]:0.036604
iteration:10, time[s]:0.036223
iteration:11, time[s]:0.039350
iteration:12, time[s]:0.036486
iteration:13, time[s]:0.031752
iteration:14, time[s]:0.036538
iteration:15, time[s]:0.034310
iteration:16, time[s]:0.032047
iteration:17, time[s]:0.027838
iteration:18, time[s]:0.030254
iteration:19, time[s]:0.028771
iteration:20, time[s]:0.028340
iteration:21, time[s]:0.036449
iteration:22, time[s]:0.037693
iteration:23, time[s]:0.034212
iteration:24, time[s]:0.028625
iteration:25, time[s]:0.032231
iteration:26, time[s]:0.035196
iteration:27, time[s]:0.032485
iteration:28, time[s]:0.031859
iteration:29, time[s]:0.031651
iteration:30, time[s]:0.031961
iteration:31, time[s]:0.030673
iteration:32, time[s]:0.033004
iteration:33, time[s]:0.032322
iteration:34, time[s]:0.028994
iteration:35, time[s]:0.028380
iteration:36, time[s]:0.028333
iteration:37, time[s]:0.029698
iteration:38, time[s]:0.024888
iteration:39, time[s]:0.028255
iteration:40, time[s]:0.029744
iteration:41, time[s]:0.028806
iteration:42, time[s]:0.034859
iteration:43, time[s]:0.030707
iteration:44, time[s]:0.026076
iteration:45, time[s]:0.032300
iteration:46, time[s]:0.034273
iteration:47, time[s]:0.027425
iteration:48, time[s]:0.029694
iteration:49, time[s]:0.028323
iteration:50, time[s]:0.028649
iteration:51, time[s]:0.030911
iteration:52, time[s]:0.029091
iteration:53, time[s]:0.023585
iteration:54, time[s]:0.028166
iteration:55, time[s]:0.034190
iteration:56, time[s]:0.034554
iteration:57, time[s]:0.025565
iteration:58, time[s]:0.026299
iteration:59, time[s]:0.031203
iteration:60, time[s]:0.031458
iteration:61, time[s]:0.029750
iteration:62, time[s]:0.024741
iteration:63, time[s]:0.029589
iteration:64, time[s]:0.030840
iteration:65, time[s]:0.025634
iteration:66, time[s]:0.030011
iteration:67, time[s]:0.025924
iteration:68, time[s]:0.031497
iteration:69, time[s]:0.032559
iteration:70, time[s]:0.030919
iteration:71, time[s]:0.030515
iteration:72, time[s]:0.032753
iteration:73, time[s]:0.032439
iteration:74, time[s]:0.029678
iteration:75, time[s]:0.036295
iteration:76, time[s]:0.039228
iteration:77, time[s]:0.030588
iteration:78, time[s]:0.025192
iteration:79, time[s]:0.028459
iteration:80, time[s]:0.025686
iteration:81, time[s]:0.030664
iteration:82, time[s]:0.035672
iteration:83, time[s]:0.029498
iteration:84, time[s]:0.029488
iteration:85, time[s]:0.028788
iteration:86, time[s]:0.028413
iteration:87, time[s]:0.031540
iteration:88, time[s]:0.031337
iteration:89, time[s]:0.030022
iteration:90, time[s]:0.030159
iteration:91, time[s]:0.035301
iteration:92, time[s]:0.036281
iteration:93, time[s]:0.035244
iteration:94, time[s]:0.029376
iteration:95, time[s]:0.028095
iteration:96, time[s]:0.024413
