alveo4b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3c, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.094252
iteration:1, time[s]:0.088379
iteration:2, time[s]:0.089332
iteration:3, time[s]:0.090354
iteration:4, time[s]:0.080281
iteration:5, time[s]:0.081393
iteration:6, time[s]:0.081382
iteration:7, time[s]:0.076035
iteration:8, time[s]:0.087626
iteration:9, time[s]:0.081152
iteration:10, time[s]:0.079300
iteration:11, time[s]:0.082262
iteration:12, time[s]:0.090388
iteration:13, time[s]:0.077494
iteration:14, time[s]:0.079567
iteration:15, time[s]:0.081125
iteration:16, time[s]:0.083179
iteration:17, time[s]:0.073564
iteration:18, time[s]:0.079509
iteration:19, time[s]:0.086747
iteration:20, time[s]:0.072453
iteration:21, time[s]:0.069653
iteration:22, time[s]:0.078667
iteration:23, time[s]:0.073826
iteration:24, time[s]:0.076587
iteration:25, time[s]:0.082330
iteration:26, time[s]:0.093609
iteration:27, time[s]:0.072905
iteration:28, time[s]:0.086181
iteration:29, time[s]:0.079317
iteration:30, time[s]:0.074951
iteration:31, time[s]:0.081359
iteration:32, time[s]:0.081460
iteration:33, time[s]:0.086284
iteration:34, time[s]:0.085252
iteration:35, time[s]:0.082874
iteration:36, time[s]:0.083831
iteration:37, time[s]:0.089184
iteration:38, time[s]:0.080017
iteration:39, time[s]:0.087863
iteration:40, time[s]:0.077849
iteration:41, time[s]:0.078513
iteration:42, time[s]:0.079952
iteration:43, time[s]:0.082096
iteration:44, time[s]:0.081993
iteration:45, time[s]:0.082776
iteration:46, time[s]:0.077368
iteration:47, time[s]:0.086081
iteration:48, time[s]:0.084434
iteration:49, time[s]:0.086548
iteration:50, time[s]:0.080001
iteration:51, time[s]:0.068273
iteration:52, time[s]:0.076781
iteration:53, time[s]:0.084568
iteration:54, time[s]:0.082588
iteration:55, time[s]:0.080963
iteration:56, time[s]:0.080758
iteration:57, time[s]:0.083664
iteration:58, time[s]:0.074233
iteration:59, time[s]:0.083999
iteration:60, time[s]:0.090227
iteration:61, time[s]:0.087660
iteration:62, time[s]:0.080566
iteration:63, time[s]:0.077914
iteration:64, time[s]:0.082066
iteration:65, time[s]:0.079621
iteration:66, time[s]:0.070178
iteration:67, time[s]:0.081426
iteration:68, time[s]:0.076438
iteration:69, time[s]:0.076064
iteration:70, time[s]:0.079075
iteration:71, time[s]:0.084056
iteration:72, time[s]:0.091363
iteration:73, time[s]:0.091872
iteration:74, time[s]:0.091063
iteration:75, time[s]:0.093126
iteration:76, time[s]:0.092730
iteration:77, time[s]:0.092069
iteration:78, time[s]:0.098557
iteration:79, time[s]:0.094373
iteration:80, time[s]:0.093828
iteration:81, time[s]:0.086870
iteration:82, time[s]:0.085673
iteration:83, time[s]:0.087591
iteration:84, time[s]:0.094708
iteration:85, time[s]:0.096487
iteration:86, time[s]:0.099355
iteration:87, time[s]:0.090861
iteration:88, time[s]:0.095592
iteration:89, time[s]:0.089032
iteration:90, time[s]:0.086624
iteration:91, time[s]:0.100322
iteration:92, time[s]:0.092526
iteration:93, time[s]:0.081642
iteration:94, time[s]:0.078729
iteration:95, time[s]:0.079649
iteration:96, time[s]:0.090329
iteration:97, time[s]:0.095099
iteration:98, time[s]:0.085452
iteration:99, time[s]:0.093370
iteration:100, time[s]:0.086082
iteration:101, time[s]:0.085867
iteration:102, time[s]:0.078483
iteration:103, time[s]:0.081239
iteration:104, time[s]:0.081823
iteration:105, time[s]:0.084663
iteration:106, time[s]:0.084454
iteration:107, time[s]:0.085550
iteration:108, time[s]:0.085560
iteration:109, time[s]:0.095590
iteration:110, time[s]:0.091538
iteration:111, time[s]:0.082026
iteration:112, time[s]:0.090135
iteration:113, time[s]:0.092168
iteration:114, time[s]:0.088415
iteration:115, time[s]:0.099832
iteration:116, time[s]:0.087963
iteration:117, time[s]:0.089624
iteration:118, time[s]:0.085394
iteration:119, time[s]:0.091950
iteration:120, time[s]:0.086438
iteration:121, time[s]:0.086008
iteration:122, time[s]:0.086232
iteration:123, time[s]:0.090554
iteration:124, time[s]:0.086255
iteration:125, time[s]:0.091676
iteration:126, time[s]:0.093802
iteration:127, time[s]:0.097272
iteration:128, time[s]:0.102496
iteration:129, time[s]:0.094503
iteration:130, time[s]:0.094399
iteration:131, time[s]:0.095190
iteration:132, time[s]:0.090118
iteration:133, time[s]:0.093088
iteration:134, time[s]:0.094541
iteration:135, time[s]:0.090691
iteration:136, time[s]:0.106313
iteration:137, time[s]:0.080773
iteration:138, time[s]:0.086606
iteration:139, time[s]:0.091360
