XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo4c
alveo3b
alveo1a
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
Start Scatter test:
iteration:0, F2F_time[s]:0.012183, H2H_time:0.008029, sync_time:0.004154
iteration:1, F2F_time[s]:0.009377, H2H_time:0.005259, sync_time:0.004118
iteration:2, F2F_time[s]:0.008502, H2H_time:0.004326, sync_time:0.004175
iteration:3, F2F_time[s]:0.007765, H2H_time:0.003594, sync_time:0.004171
iteration:4, F2F_time[s]:0.008104, H2H_time:0.003948, sync_time:0.004157
iteration:5, F2F_time[s]:0.007915, H2H_time:0.003749, sync_time:0.004166
iteration:6, F2F_time[s]:0.007617, H2H_time:0.003468, sync_time:0.004149
iteration:7, F2F_time[s]:0.007864, H2H_time:0.003741, sync_time:0.004123
iteration:8, F2F_time[s]:0.007936, H2H_time:0.003809, sync_time:0.004127
iteration:9, F2F_time[s]:0.008017, H2H_time:0.003900, sync_time:0.004117
iteration:10, F2F_time[s]:0.008046, H2H_time:0.003875, sync_time:0.004170
iteration:11, F2F_time[s]:0.007975, H2H_time:0.003809, sync_time:0.004167
iteration:12, F2F_time[s]:0.007953, H2H_time:0.003797, sync_time:0.004155
iteration:13, F2F_time[s]:0.008010, H2H_time:0.003889, sync_time:0.004121
iteration:14, F2F_time[s]:0.007972, H2H_time:0.003799, sync_time:0.004172
iteration:15, F2F_time[s]:0.007711, H2H_time:0.003549, sync_time:0.004162
iteration:16, F2F_time[s]:0.007731, H2H_time:0.003577, sync_time:0.004154
iteration:17, F2F_time[s]:0.007741, H2H_time:0.003579, sync_time:0.004163
iteration:18, F2F_time[s]:0.007470, H2H_time:0.003329, sync_time:0.004141
iteration:19, F2F_time[s]:0.008024, H2H_time:0.003794, sync_time:0.004230
iteration:20, F2F_time[s]:0.007816, H2H_time:0.003686, sync_time:0.004129
iteration:21, F2F_time[s]:0.008336, H2H_time:0.004188, sync_time:0.004148
iteration:22, F2F_time[s]:0.007887, H2H_time:0.003745, sync_time:0.004142
iteration:23, F2F_time[s]:0.007960, H2H_time:0.003815, sync_time:0.004144
iteration:24, F2F_time[s]:0.007808, H2H_time:0.003713, sync_time:0.004095
iteration:25, F2F_time[s]:0.007740, H2H_time:0.003607, sync_time:0.004133
iteration:26, F2F_time[s]:0.007932, H2H_time:0.003867, sync_time:0.004064
iteration:27, F2F_time[s]:0.008288, H2H_time:0.004131, sync_time:0.004157
iteration:28, F2F_time[s]:0.007853, H2H_time:0.003698, sync_time:0.004155
iteration:29, F2F_time[s]:0.007831, H2H_time:0.003680, sync_time:0.004151
iteration:30, F2F_time[s]:0.008088, H2H_time:0.003933, sync_time:0.004155
iteration:31, F2F_time[s]:0.008130, H2H_time:0.003981, sync_time:0.004149
iteration:32, F2F_time[s]:0.007971, H2H_time:0.003816, sync_time:0.004155
iteration:33, F2F_time[s]:0.007826, H2H_time:0.003666, sync_time:0.004159
iteration:34, F2F_time[s]:0.007903, H2H_time:0.003772, sync_time:0.004131
iteration:35, F2F_time[s]:0.007703, H2H_time:0.003578, sync_time:0.004125
iteration:36, F2F_time[s]:0.007607, H2H_time:0.003449, sync_time:0.004158
iteration:37, F2F_time[s]:0.007267, H2H_time:0.003134, sync_time:0.004133
iteration:38, F2F_time[s]:0.007494, H2H_time:0.003340, sync_time:0.004154
iteration:39, F2F_time[s]:0.007693, H2H_time:0.003613, sync_time:0.004081
iteration:40, F2F_time[s]:0.007605, H2H_time:0.003495, sync_time:0.004111
iteration:41, F2F_time[s]:0.007742, H2H_time:0.003661, sync_time:0.004082
iteration:42, F2F_time[s]:0.007752, H2H_time:0.003597, sync_time:0.004155
iteration:43, F2F_time[s]:0.007953, H2H_time:0.003795, sync_time:0.004158
iteration:44, F2F_time[s]:0.007585, H2H_time:0.003429, sync_time:0.004155
iteration:45, F2F_time[s]:0.007927, H2H_time:0.003753, sync_time:0.004173
