XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo2b
alveo3c
alveo3b
alveo4c
alveo2a
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
Start Scatter test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
iteration:0, F2F_time[s]:0.011461, H2H_time:0.007341, sync_time:0.004120
iteration:1, F2F_time[s]:0.008668, H2H_time:0.004512, sync_time:0.004156
iteration:2, F2F_time[s]:0.008542, H2H_time:0.004406, sync_time:0.004137
iteration:3, F2F_time[s]:0.007698, H2H_time:0.003698, sync_time:0.004000
iteration:4, F2F_time[s]:0.008073, H2H_time:0.003930, sync_time:0.004143
iteration:5, F2F_time[s]:0.007735, H2H_time:0.003569, sync_time:0.004166
iteration:6, F2F_time[s]:0.007866, H2H_time:0.003715, sync_time:0.004151
iteration:7, F2F_time[s]:0.007785, H2H_time:0.003686, sync_time:0.004100
iteration:8, F2F_time[s]:0.007910, H2H_time:0.003775, sync_time:0.004135
iteration:9, F2F_time[s]:0.007998, H2H_time:0.003864, sync_time:0.004134
iteration:10, F2F_time[s]:0.007679, H2H_time:0.003595, sync_time:0.004083
iteration:11, F2F_time[s]:0.007566, H2H_time:0.003412, sync_time:0.004154
iteration:12, F2F_time[s]:0.007830, H2H_time:0.003672, sync_time:0.004158
iteration:13, F2F_time[s]:0.007822, H2H_time:0.003647, sync_time:0.004176
iteration:14, F2F_time[s]:0.007675, H2H_time:0.003534, sync_time:0.004142
iteration:15, F2F_time[s]:0.007684, H2H_time:0.003583, sync_time:0.004102
iteration:16, F2F_time[s]:0.007719, H2H_time:0.003559, sync_time:0.004160
iteration:17, F2F_time[s]:0.007794, H2H_time:0.003634, sync_time:0.004160
iteration:18, F2F_time[s]:0.007731, H2H_time:0.003579, sync_time:0.004152
iteration:19, F2F_time[s]:0.254037, H2H_time:0.249937, sync_time:0.004100
iteration:20, F2F_time[s]:0.007722, H2H_time:0.003563, sync_time:0.004159
iteration:21, F2F_time[s]:0.007907, H2H_time:0.003751, sync_time:0.004156
iteration:22, F2F_time[s]:0.008073, H2H_time:0.003916, sync_time:0.004157
iteration:23, F2F_time[s]:0.007805, H2H_time:0.003686, sync_time:0.004119
iteration:24, F2F_time[s]:0.007872, H2H_time:0.003725, sync_time:0.004147
iteration:25, F2F_time[s]:0.007962, H2H_time:0.003842, sync_time:0.004119
iteration:26, F2F_time[s]:0.007810, H2H_time:0.003666, sync_time:0.004144
iteration:27, F2F_time[s]:0.007931, H2H_time:0.003801, sync_time:0.004130
iteration:28, F2F_time[s]:0.007871, H2H_time:0.003736, sync_time:0.004135
iteration:29, F2F_time[s]:0.007996, H2H_time:0.003635, sync_time:0.004361
iteration:30, F2F_time[s]:0.007523, H2H_time:0.003408, sync_time:0.004115
iteration:31, F2F_time[s]:0.007787, H2H_time:0.003626, sync_time:0.004161
iteration:32, F2F_time[s]:0.007807, H2H_time:0.003650, sync_time:0.004156
iteration:33, F2F_time[s]:0.007644, H2H_time:0.003478, sync_time:0.004166
iteration:34, F2F_time[s]:0.007811, H2H_time:0.003657, sync_time:0.004154
iteration:35, F2F_time[s]:0.007686, H2H_time:0.003549, sync_time:0.004137
iteration:36, F2F_time[s]:0.007880, H2H_time:0.003727, sync_time:0.004153
iteration:37, F2F_time[s]:0.007829, H2H_time:0.003708, sync_time:0.004121
iteration:38, F2F_time[s]:0.007573, H2H_time:0.003436, sync_time:0.004137
iteration:39, F2F_time[s]:0.007383, H2H_time:0.003307, sync_time:0.004076
iteration:40, F2F_time[s]:0.007493, H2H_time:0.003486, sync_time:0.004007
iteration:41, F2F_time[s]:0.007627, H2H_time:0.003446, sync_time:0.004180
iteration:42, F2F_time[s]:0.007604, H2H_time:0.003494, sync_time:0.004110
iteration:43, F2F_time[s]:0.007553, H2H_time:0.003377, sync_time:0.004175
iteration:44, F2F_time[s]:0.007913, H2H_time:0.003776, sync_time:0.004136
iteration:45, F2F_time[s]:0.008047, H2H_time:0.003904, sync_time:0.004143
iteration:46, F2F_time[s]:0.007916, H2H_time:0.003824, sync_time:0.004092
iteration:47, F2F_time[s]:0.007972, H2H_time:0.003849, sync_time:0.004123
iteration:48, F2F_time[s]:0.008069, H2H_time:0.003908, sync_time:0.004161
iteration:49, F2F_time[s]:0.007700, H2H_time:0.003548, sync_time:0.004152
iteration:50, F2F_time[s]:0.007481, H2H_time:0.003321, sync_time:0.004161
