XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo2b
alveo2a
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:32768, num_elements:8192, num_trials:200
Start Scatter test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:32768, num_elements:8192, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:32768, num_elements:8192, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:32768, num_elements:8192, num_trials:200
iteration:0, F2F_time[s]:0.000526, H2H_time:0.000091, sync_time:0.000435
iteration:1, F2F_time[s]:0.000401, H2H_time:0.000083, sync_time:0.000318
iteration:2, F2F_time[s]:0.000256, H2H_time:0.000058, sync_time:0.000199
iteration:3, F2F_time[s]:0.000199, H2H_time:0.000058, sync_time:0.000141
iteration:4, F2F_time[s]:0.000223, H2H_time:0.000053, sync_time:0.000169
iteration:5, F2F_time[s]:0.000256, H2H_time:0.000055, sync_time:0.000202
iteration:6, F2F_time[s]:0.000262, H2H_time:0.000079, sync_time:0.000183
iteration:7, F2F_time[s]:0.000219, H2H_time:0.000066, sync_time:0.000152
iteration:8, F2F_time[s]:0.000259, H2H_time:0.000118, sync_time:0.000140
iteration:9, F2F_time[s]:0.000257, H2H_time:0.000119, sync_time:0.000138
iteration:10, F2F_time[s]:0.000256, H2H_time:0.000117, sync_time:0.000139
iteration:11, F2F_time[s]:0.000262, H2H_time:0.000121, sync_time:0.000141
iteration:12, F2F_time[s]:0.000271, H2H_time:0.000048, sync_time:0.000223
iteration:13, F2F_time[s]:0.000270, H2H_time:0.000046, sync_time:0.000224
iteration:14, F2F_time[s]:0.000304, H2H_time:0.000119, sync_time:0.000184
iteration:15, F2F_time[s]:0.000237, H2H_time:0.000059, sync_time:0.000178
iteration:16, F2F_time[s]:0.000253, H2H_time:0.000045, sync_time:0.000208
iteration:17, F2F_time[s]:0.000265, H2H_time:0.000051, sync_time:0.000215
iteration:18, F2F_time[s]:0.000267, H2H_time:0.000054, sync_time:0.000214
iteration:19, F2F_time[s]:0.000451, H2H_time:0.000045, sync_time:0.000405
iteration:20, F2F_time[s]:0.000284, H2H_time:0.000050, sync_time:0.000234
iteration:21, F2F_time[s]:0.000274, H2H_time:0.000058, sync_time:0.000216
iteration:22, F2F_time[s]:0.000265, H2H_time:0.000047, sync_time:0.000218
iteration:23, F2F_time[s]:0.000266, H2H_time:0.000044, sync_time:0.000222
iteration:24, F2F_time[s]:0.000258, H2H_time:0.000044, sync_time:0.000214
iteration:25, F2F_time[s]:0.000266, H2H_time:0.000047, sync_time:0.000219
iteration:26, F2F_time[s]:0.000214, H2H_time:0.000044, sync_time:0.000170
iteration:27, F2F_time[s]:0.000259, H2H_time:0.000041, sync_time:0.000218
iteration:28, F2F_time[s]:0.000292, H2H_time:0.000044, sync_time:0.000248
iteration:29, F2F_time[s]:0.000293, H2H_time:0.000045, sync_time:0.000248
iteration:30, F2F_time[s]:0.000297, H2H_time:0.000052, sync_time:0.000245
iteration:31, F2F_time[s]:0.000304, H2H_time:0.000043, sync_time:0.000261
iteration:32, F2F_time[s]:0.000287, H2H_time:0.000040, sync_time:0.000248
iteration:33, F2F_time[s]:0.000283, H2H_time:0.000038, sync_time:0.000244
iteration:34, F2F_time[s]:0.000295, H2H_time:0.000039, sync_time:0.000255
iteration:35, F2F_time[s]:0.000287, H2H_time:0.000041, sync_time:0.000247
iteration:36, F2F_time[s]:0.000293, H2H_time:0.000127, sync_time:0.000166
iteration:37, F2F_time[s]:0.000276, H2H_time:0.000138, sync_time:0.000138
iteration:38, F2F_time[s]:0.000284, H2H_time:0.000143, sync_time:0.000141
iteration:39, F2F_time[s]:0.000276, H2H_time:0.000141, sync_time:0.000136
iteration:40, F2F_time[s]:0.000265, H2H_time:0.000129, sync_time:0.000136
iteration:41, F2F_time[s]:0.000266, H2H_time:0.000128, sync_time:0.000138
iteration:42, F2F_time[s]:0.000259, H2H_time:0.000121, sync_time:0.000139
iteration:43, F2F_time[s]:0.000246, H2H_time:0.000105, sync_time:0.000141
iteration:44, F2F_time[s]:0.000246, H2H_time:0.000073, sync_time:0.000173
iteration:45, F2F_time[s]:0.000248, H2H_time:0.000037, sync_time:0.000210
iteration:46, F2F_time[s]:0.000262, H2H_time:0.000105, sync_time:0.000157
iteration:47, F2F_time[s]:0.000250, H2H_time:0.000072, sync_time:0.000178
iteration:48, F2F_time[s]:0.000271, H2H_time:0.000103, sync_time:0.000167
iteration:49, F2F_time[s]:0.000241, H2H_time:0.000104, sync_time:0.000136
iteration:50, F2F_time[s]:0.000229, H2H_time:0.000093, sync_time:0.000136
iteration:51, F2F_time[s]:0.000239, H2H_time:0.000094, sync_time:0.000145
iteration:52, F2F_time[s]:0.000237, H2H_time:0.000094, sync_time:0.000143
iteration:53, F2F_time[s]:0.000247, H2H_time:0.000072, sync_time:0.000175
iteration:54, F2F_time[s]:0.000257, H2H_time:0.000095, sync_time:0.000161
iteration:55, F2F_time[s]:0.000273, H2H_time:0.000137, sync_time:0.000137
iteration:56, F2F_time[s]:0.000278, H2H_time:0.000145, sync_time:0.000133
iteration:57, F2F_time[s]:0.000263, H2H_time:0.000133, sync_time:0.000130
iteration:58, F2F_time[s]:0.000282, H2H_time:0.000146, sync_time:0.000136
iteration:59, F2F_time[s]:0.000274, H2H_time:0.000140, sync_time:0.000134
iteration:60, F2F_time[s]:0.000281, H2H_time:0.000149, sync_time:0.000132
iteration:61, F2F_time[s]:0.000279, H2H_time:0.000145, sync_time:0.000134
iteration:62, F2F_time[s]:0.000260, H2H_time:0.000132, sync_time:0.000128
iteration:63, F2F_time[s]:0.000293, H2H_time:0.000161, sync_time:0.000132
iteration:64, F2F_time[s]:0.000276, H2H_time:0.000137, sync_time:0.000139
iteration:65, F2F_time[s]:0.000294, H2H_time:0.000160, sync_time:0.000134
iteration:66, F2F_time[s]:0.000264, H2H_time:0.000132, sync_time:0.000132
iteration:67, F2F_time[s]:0.000295, H2H_time:0.000161, sync_time:0.000134
iteration:68, F2F_time[s]:0.000260, H2H_time:0.000132, sync_time:0.000128
iteration:69, F2F_time[s]:0.000266, H2H_time:0.000124, sync_time:0.000142
iteration:70, F2F_time[s]:0.000295, H2H_time:0.000161, sync_time:0.000134
iteration:71, F2F_time[s]:0.000266, H2H_time:0.000129, sync_time:0.000136
iteration:72, F2F_time[s]:0.000259, H2H_time:0.000124, sync_time:0.000135
iteration:73, F2F_time[s]:0.000269, H2H_time:0.000135, sync_time:0.000134
iteration:74, F2F_time[s]:0.000271, H2H_time:0.000136, sync_time:0.000135
iteration:75, F2F_time[s]:0.000276, H2H_time:0.000134, sync_time:0.000142
iteration:76, F2F_time[s]:0.000268, H2H_time:0.000132, sync_time:0.000137
iteration:77, F2F_time[s]:0.000277, H2H_time:0.000146, sync_time:0.000131
