XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4096, num_elements:1024, num_trials:200
Start Scatter test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4096, num_elements:1024, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4096, num_elements:1024, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4096, num_elements:1024, num_trials:200
iteration:0, F2F_time[s]:0.000869, H2H_time:0.000397, sync_time:0.000473
iteration:1, F2F_time[s]:0.000402, H2H_time:0.000080, sync_time:0.000322
iteration:2, F2F_time[s]:0.000230, H2H_time:0.000066, sync_time:0.000164
iteration:3, F2F_time[s]:0.000211, H2H_time:0.000065, sync_time:0.000146
iteration:4, F2F_time[s]:0.000228, H2H_time:0.000082, sync_time:0.000146
iteration:5, F2F_time[s]:0.000205, H2H_time:0.000061, sync_time:0.000144
iteration:6, F2F_time[s]:0.000204, H2H_time:0.000064, sync_time:0.000140
iteration:7, F2F_time[s]:0.000213, H2H_time:0.000059, sync_time:0.000153
iteration:8, F2F_time[s]:0.000233, H2H_time:0.000085, sync_time:0.000148
iteration:9, F2F_time[s]:0.000200, H2H_time:0.000059, sync_time:0.000141
iteration:10, F2F_time[s]:0.000196, H2H_time:0.000056, sync_time:0.000140
iteration:11, F2F_time[s]:0.000195, H2H_time:0.000059, sync_time:0.000136
iteration:12, F2F_time[s]:0.000229, H2H_time:0.000057, sync_time:0.000172
iteration:13, F2F_time[s]:0.000202, H2H_time:0.000061, sync_time:0.000141
iteration:14, F2F_time[s]:0.000200, H2H_time:0.000061, sync_time:0.000138
iteration:15, F2F_time[s]:0.000204, H2H_time:0.000057, sync_time:0.000147
iteration:16, F2F_time[s]:0.000195, H2H_time:0.000057, sync_time:0.000137
iteration:17, F2F_time[s]:0.000194, H2H_time:0.000057, sync_time:0.000137
iteration:18, F2F_time[s]:0.000196, H2H_time:0.000060, sync_time:0.000136
iteration:19, F2F_time[s]:0.000196, H2H_time:0.000058, sync_time:0.000138
iteration:20, F2F_time[s]:0.000199, H2H_time:0.000055, sync_time:0.000144
iteration:21, F2F_time[s]:0.000197, H2H_time:0.000059, sync_time:0.000138
iteration:22, F2F_time[s]:0.000194, H2H_time:0.000058, sync_time:0.000136
iteration:23, F2F_time[s]:0.000193, H2H_time:0.000054, sync_time:0.000139
iteration:24, F2F_time[s]:0.000191, H2H_time:0.000056, sync_time:0.000135
iteration:25, F2F_time[s]:0.000185, H2H_time:0.000053, sync_time:0.000132
iteration:26, F2F_time[s]:0.000190, H2H_time:0.000059, sync_time:0.000131
iteration:27, F2F_time[s]:0.000191, H2H_time:0.000061, sync_time:0.000130
iteration:28, F2F_time[s]:0.000192, H2H_time:0.000056, sync_time:0.000136
iteration:29, F2F_time[s]:0.000210, H2H_time:0.000066, sync_time:0.000144
iteration:30, F2F_time[s]:0.000205, H2H_time:0.000057, sync_time:0.000148
iteration:31, F2F_time[s]:0.000191, H2H_time:0.000060, sync_time:0.000131
iteration:32, F2F_time[s]:0.000192, H2H_time:0.000057, sync_time:0.000135
iteration:33, F2F_time[s]:0.000199, H2H_time:0.000059, sync_time:0.000140
iteration:34, F2F_time[s]:0.000190, H2H_time:0.000059, sync_time:0.000132
iteration:35, F2F_time[s]:0.000184, H2H_time:0.000055, sync_time:0.000129
iteration:36, F2F_time[s]:0.000187, H2H_time:0.000052, sync_time:0.000135
iteration:37, F2F_time[s]:0.000197, H2H_time:0.000059, sync_time:0.000139
iteration:38, F2F_time[s]:0.000192, H2H_time:0.000059, sync_time:0.000133
iteration:39, F2F_time[s]:0.000189, H2H_time:0.000059, sync_time:0.000130
iteration:40, F2F_time[s]:0.000198, H2H_time:0.000054, sync_time:0.000145
iteration:41, F2F_time[s]:0.000197, H2H_time:0.000059, sync_time:0.000139
iteration:42, F2F_time[s]:0.000182, H2H_time:0.000056, sync_time:0.000126
iteration:43, F2F_time[s]:0.000181, H2H_time:0.000059, sync_time:0.000122
iteration:44, F2F_time[s]:0.000176, H2H_time:0.000048, sync_time:0.000127
iteration:45, F2F_time[s]:0.000193, H2H_time:0.000065, sync_time:0.000128
iteration:46, F2F_time[s]:0.000187, H2H_time:0.000058, sync_time:0.000129
iteration:47, F2F_time[s]:0.000201, H2H_time:0.000071, sync_time:0.000131
iteration:48, F2F_time[s]:0.000201, H2H_time:0.000072, sync_time:0.000129
iteration:49, F2F_time[s]:0.000179, H2H_time:0.000058, sync_time:0.000121
iteration:50, F2F_time[s]:0.000214, H2H_time:0.000042, sync_time:0.000171
iteration:51, F2F_time[s]:0.000175, H2H_time:0.000052, sync_time:0.000123
iteration:52, F2F_time[s]:0.000193, H2H_time:0.000066, sync_time:0.000127
iteration:53, F2F_time[s]:0.000191, H2H_time:0.000067, sync_time:0.000124
iteration:54, F2F_time[s]:0.000194, H2H_time:0.000066, sync_time:0.000128
iteration:55, F2F_time[s]:0.000194, H2H_time:0.000068, sync_time:0.000126
iteration:56, F2F_time[s]:0.000194, H2H_time:0.000071, sync_time:0.000123
iteration:57, F2F_time[s]:0.000200, H2H_time:0.000071, sync_time:0.000130
iteration:58, F2F_time[s]:0.000192, H2H_time:0.000068, sync_time:0.000124
iteration:59, F2F_time[s]:0.000194, H2H_time:0.000069, sync_time:0.000125
iteration:60, F2F_time[s]:0.000168, H2H_time:0.000043, sync_time:0.000125
iteration:61, F2F_time[s]:0.000194, H2H_time:0.000070, sync_time:0.000124
iteration:62, F2F_time[s]:0.000199, H2H_time:0.000071, sync_time:0.000128
iteration:63, F2F_time[s]:0.000197, H2H_time:0.000071, sync_time:0.000126
iteration:64, F2F_time[s]:0.000195, H2H_time:0.000068, sync_time:0.000127
iteration:65, F2F_time[s]:0.000194, H2H_time:0.000069, sync_time:0.000126
iteration:66, F2F_time[s]:0.000197, H2H_time:0.000073, sync_time:0.000124
iteration:67, F2F_time[s]:0.000196, H2H_time:0.000046, sync_time:0.000150
iteration:68, F2F_time[s]:0.000191, H2H_time:0.000070, sync_time:0.000121
iteration:69, F2F_time[s]:0.000199, H2H_time:0.000052, sync_time:0.000148
iteration:70, F2F_time[s]:0.000179, H2H_time:0.000053, sync_time:0.000126
iteration:71, F2F_time[s]:0.000192, H2H_time:0.000065, sync_time:0.000127
iteration:72, F2F_time[s]:0.000187, H2H_time:0.000044, sync_time:0.000143
iteration:73, F2F_time[s]:0.000168, H2H_time:0.000046, sync_time:0.000122
iteration:74, F2F_time[s]:0.000180, H2H_time:0.000064, sync_time:0.000116
iteration:75, F2F_time[s]:0.000186, H2H_time:0.000054, sync_time:0.000132
iteration:76, F2F_time[s]:0.000177, H2H_time:0.000053, sync_time:0.000124
iteration:77, F2F_time[s]:0.000200, H2H_time:0.000074, sync_time:0.000126
