XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo2b
alveo1a
alveo2a
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
Start Scatter test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:200
iteration:0, F2F_time[s]:0.006335, H2H_time:0.003821, sync_time:0.002514
iteration:1, F2F_time[s]:0.004833, H2H_time:0.002384, sync_time:0.002449
iteration:2, F2F_time[s]:0.003939, H2H_time:0.001522, sync_time:0.002417
iteration:3, F2F_time[s]:0.004426, H2H_time:0.001985, sync_time:0.002441
iteration:4, F2F_time[s]:0.004351, H2H_time:0.001882, sync_time:0.002469
iteration:5, F2F_time[s]:0.004264, H2H_time:0.001691, sync_time:0.002573
iteration:6, F2F_time[s]:0.004118, H2H_time:0.001650, sync_time:0.002468
iteration:7, F2F_time[s]:0.004194, H2H_time:0.001773, sync_time:0.002421
iteration:8, F2F_time[s]:0.004109, H2H_time:0.001629, sync_time:0.002480
iteration:9, F2F_time[s]:0.003973, H2H_time:0.001495, sync_time:0.002478
iteration:10, F2F_time[s]:0.004112, H2H_time:0.001729, sync_time:0.002384
iteration:11, F2F_time[s]:0.003999, H2H_time:0.001549, sync_time:0.002450
iteration:12, F2F_time[s]:0.003956, H2H_time:0.001515, sync_time:0.002441
iteration:13, F2F_time[s]:0.004329, H2H_time:0.001794, sync_time:0.002535
iteration:14, F2F_time[s]:0.003909, H2H_time:0.001452, sync_time:0.002456
iteration:15, F2F_time[s]:0.004355, H2H_time:0.001968, sync_time:0.002387
iteration:16, F2F_time[s]:0.021627, H2H_time:0.019053, sync_time:0.002574
iteration:17, F2F_time[s]:0.004091, H2H_time:0.001583, sync_time:0.002508
iteration:18, F2F_time[s]:0.020794, H2H_time:0.018257, sync_time:0.002538
iteration:19, F2F_time[s]:0.003933, H2H_time:0.001554, sync_time:0.002379
iteration:20, F2F_time[s]:0.004061, H2H_time:0.001603, sync_time:0.002458
iteration:21, F2F_time[s]:0.017146, H2H_time:0.014556, sync_time:0.002590
iteration:22, F2F_time[s]:0.004088, H2H_time:0.001617, sync_time:0.002471
iteration:23, F2F_time[s]:0.003947, H2H_time:0.001443, sync_time:0.002504
iteration:24, F2F_time[s]:0.004257, H2H_time:0.001770, sync_time:0.002487
iteration:25, F2F_time[s]:0.004221, H2H_time:0.001822, sync_time:0.002400
iteration:26, F2F_time[s]:0.004208, H2H_time:0.001701, sync_time:0.002507
iteration:27, F2F_time[s]:0.004082, H2H_time:0.001587, sync_time:0.002495
iteration:28, F2F_time[s]:0.004387, H2H_time:0.001874, sync_time:0.002512
iteration:29, F2F_time[s]:0.004022, H2H_time:0.001523, sync_time:0.002498
iteration:30, F2F_time[s]:0.004111, H2H_time:0.001654, sync_time:0.002457
iteration:31, F2F_time[s]:0.004129, H2H_time:0.001610, sync_time:0.002519
iteration:32, F2F_time[s]:0.004085, H2H_time:0.001669, sync_time:0.002417
iteration:33, F2F_time[s]:0.020624, H2H_time:0.018085, sync_time:0.002539
iteration:34, F2F_time[s]:0.003903, H2H_time:0.001529, sync_time:0.002373
iteration:35, F2F_time[s]:0.004133, H2H_time:0.001642, sync_time:0.002491
iteration:36, F2F_time[s]:0.004067, H2H_time:0.001579, sync_time:0.002488
iteration:37, F2F_time[s]:0.004084, H2H_time:0.001713, sync_time:0.002372
iteration:38, F2F_time[s]:0.004289, H2H_time:0.001912, sync_time:0.002377
iteration:39, F2F_time[s]:0.004432, H2H_time:0.001932, sync_time:0.002500
