XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo1b
alveo4b
alveo3b
alveo1a
alveo2b
alveo2a
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:16777216, num_elements:4194304, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:100
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:100
Start Scatter test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:100
iteration:0, time[s]:0.010768
iteration:1, time[s]:0.007447
iteration:2, time[s]:0.006080
iteration:3, time[s]:0.005782
iteration:4, time[s]:0.005310
iteration:5, time[s]:0.005265
iteration:6, time[s]:0.005677
iteration:7, time[s]:0.005979
iteration:8, time[s]:0.005707
iteration:9, time[s]:0.005517
iteration:10, time[s]:0.005178
iteration:11, time[s]:0.005307
iteration:12, time[s]:0.005336
iteration:13, time[s]:0.005440
iteration:14, time[s]:0.005490
iteration:15, time[s]:0.006090
iteration:16, time[s]:0.005624
iteration:17, time[s]:0.005080
iteration:18, time[s]:0.005295
iteration:19, time[s]:0.005238
iteration:20, time[s]:0.005264
iteration:21, time[s]:0.005342
iteration:22, time[s]:0.005208
iteration:23, time[s]:0.005284
iteration:24, time[s]:0.005356
iteration:25, time[s]:0.006368
iteration:26, time[s]:0.006403
iteration:27, time[s]:0.005622
iteration:28, time[s]:0.005758
iteration:29, time[s]:0.005737
iteration:30, time[s]:0.005438
iteration:31, time[s]:0.005765
iteration:32, time[s]:0.005323
iteration:33, time[s]:0.005272
iteration:34, time[s]:0.005509
iteration:35, time[s]:0.005140
iteration:36, time[s]:0.005091
iteration:37, time[s]:0.005058
iteration:38, time[s]:0.005189
iteration:39, time[s]:0.005162
iteration:40, time[s]:0.005428
iteration:41, time[s]:0.005535
iteration:42, time[s]:0.005655
iteration:43, time[s]:0.005430
iteration:44, time[s]:0.005100
iteration:45, time[s]:0.005277
iteration:46, time[s]:0.005140
iteration:47, time[s]:0.005156
iteration:48, time[s]:0.005601
iteration:49, time[s]:0.005373
iteration:50, time[s]:0.005891
iteration:51, time[s]:0.005653
iteration:52, time[s]:0.005352
iteration:53, time[s]:0.005500
iteration:54, time[s]:0.005315
iteration:55, time[s]:0.005199
iteration:56, time[s]:0.005471
iteration:57, time[s]:0.005190
iteration:58, time[s]:0.004959
iteration:59, time[s]:0.005481
iteration:60, time[s]:0.005277
iteration:61, time[s]:0.005696
iteration:62, time[s]:0.005724
iteration:63, time[s]:0.005038
iteration:64, time[s]:0.004982
iteration:65, time[s]:0.005314
iteration:66, time[s]:0.005232
iteration:67, time[s]:0.005186
iteration:68, time[s]:0.005201
iteration:69, time[s]:0.005186
iteration:70, time[s]:0.005223
iteration:71, time[s]:0.005014
iteration:72, time[s]:0.005123
iteration:73, time[s]:0.020060
iteration:74, time[s]:0.005123
iteration:75, time[s]:0.005044
iteration:76, time[s]:0.005006
iteration:77, time[s]:0.005662
iteration:78, time[s]:0.005602
iteration:79, time[s]:0.005251
iteration:80, time[s]:0.005308
iteration:81, time[s]:0.005105
iteration:82, time[s]:0.004925
iteration:83, time[s]:0.005091
iteration:84, time[s]:0.005241
iteration:85, time[s]:0.005191
iteration:86, time[s]:0.005365
iteration:87, time[s]:0.005277
iteration:88, time[s]:0.005132
iteration:89, time[s]:0.005418
iteration:90, time[s]:0.005640
iteration:91, time[s]:0.005742
iteration:92, time[s]:0.005119
iteration:93, time[s]:0.004940
iteration:94, time[s]:0.005008
iteration:95, time[s]:0.005093
iteration:96, time[s]:0.005276
iteration:97, time[s]:0.005251
iteration:98, time[s]:0.005293
iteration:99, time[s]:0.005594
iteration:100, time[s]:0.005571
Data size = 16777216, Trials = 100
Avg MPI time [us]= *5543.606280, throughput [Gbps] = 24.211266
