XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2b
alveo1b
alveo3b
alveo4c
alveo4b
alveo2a
alveo1a
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
Start Scatter test:
iteration:0, time[s]:0.008931
iteration:1, time[s]:0.016835
iteration:2, time[s]:0.005868
iteration:3, time[s]:0.005856
iteration:4, time[s]:0.005942
iteration:5, time[s]:0.005316
iteration:6, time[s]:0.005530
iteration:7, time[s]:0.005492
iteration:8, time[s]:0.005478
iteration:9, time[s]:0.005701
iteration:10, time[s]:0.005475
iteration:11, time[s]:0.005337
iteration:12, time[s]:0.005378
iteration:13, time[s]:0.005056
iteration:14, time[s]:0.005237
iteration:15, time[s]:0.005441
iteration:16, time[s]:0.005583
iteration:17, time[s]:0.005398
iteration:18, time[s]:0.005584
iteration:19, time[s]:0.005626
iteration:20, time[s]:0.005758
iteration:21, time[s]:0.005569
iteration:22, time[s]:0.005505
iteration:23, time[s]:0.005465
iteration:24, time[s]:0.005245
iteration:25, time[s]:0.005046
iteration:26, time[s]:0.005950
iteration:27, time[s]:0.005976
iteration:28, time[s]:0.005634
iteration:29, time[s]:0.005545
iteration:30, time[s]:0.005270
iteration:31, time[s]:0.005536
iteration:32, time[s]:0.005611
iteration:33, time[s]:0.005523
iteration:34, time[s]:0.005928
iteration:35, time[s]:0.005374
iteration:36, time[s]:0.005366
iteration:37, time[s]:0.005001
iteration:38, time[s]:0.005296
iteration:39, time[s]:0.005656
iteration:40, time[s]:0.005091
iteration:41, time[s]:0.005340
iteration:42, time[s]:0.005647
iteration:43, time[s]:0.006080
iteration:44, time[s]:0.005371
iteration:45, time[s]:0.005481
iteration:46, time[s]:0.005265
iteration:47, time[s]:0.005156
iteration:48, time[s]:0.005511
iteration:49, time[s]:0.005311
iteration:50, time[s]:0.005299
iteration:51, time[s]:0.005756
iteration:52, time[s]:0.005737
iteration:53, time[s]:0.005164
iteration:54, time[s]:0.005348
iteration:55, time[s]:0.005298
iteration:56, time[s]:0.005360
iteration:57, time[s]:0.005676
iteration:58, time[s]:0.005208
iteration:59, time[s]:0.005447
iteration:60, time[s]:0.005080
iteration:61, time[s]:0.005809
iteration:62, time[s]:0.005704
iteration:63, time[s]:0.005756
iteration:64, time[s]:0.005559
iteration:65, time[s]:0.005449
iteration:66, time[s]:0.005576
iteration:67, time[s]:0.005284
iteration:68, time[s]:0.005347
iteration:69, time[s]:0.005687
iteration:70, time[s]:0.005262
iteration:71, time[s]:0.005387
iteration:72, time[s]:0.005682
iteration:73, time[s]:0.005395
iteration:74, time[s]:0.005607
iteration:75, time[s]:0.005611
iteration:76, time[s]:0.005741
iteration:77, time[s]:0.005881
iteration:78, time[s]:0.005411
iteration:79, time[s]:0.005449
iteration:80, time[s]:0.005597
iteration:81, time[s]:0.005247
iteration:82, time[s]:0.005581
iteration:83, time[s]:0.005602
iteration:84, time[s]:0.005816
iteration:85, time[s]:0.005417
iteration:86, time[s]:0.005404
iteration:87, time[s]:0.005416
iteration:88, time[s]:0.005564
iteration:89, time[s]:0.005313
iteration:90, time[s]:0.005768
iteration:91, time[s]:0.005805
iteration:92, time[s]:0.005474
iteration:93, time[s]:0.005154
iteration:94, time[s]:0.005378
iteration:95, time[s]:0.005641
iteration:96, time[s]:0.005312
iteration:97, time[s]:0.005599
iteration:98, time[s]:0.005496
iteration:99, time[s]:0.005710
iteration:100, time[s]:0.005581
iteration:101, time[s]:0.005431
iteration:102, time[s]:0.005268
iteration:103, time[s]:0.005410
iteration:104, time[s]:0.005246
iteration:105, time[s]:0.005327
iteration:106, time[s]:0.005379
iteration:107, time[s]:0.005621
iteration:108, time[s]:0.005503
iteration:109, time[s]:0.005740
iteration:110, time[s]:0.005320
iteration:111, time[s]:0.005270
iteration:112, time[s]:0.005325
iteration:113, time[s]:0.005291
iteration:114, time[s]:0.005404
iteration:115, time[s]:0.005906
iteration:116, time[s]:0.005986
iteration:117, time[s]:0.005414
iteration:118, time[s]:0.005381
iteration:119, time[s]:0.005438
iteration:120, time[s]:0.005246
iteration:121, time[s]:0.005318
iteration:122, time[s]:0.006054
iteration:123, time[s]:0.005862
iteration:124, time[s]:0.005800
iteration:125, time[s]:0.005797
iteration:126, time[s]:0.005157
iteration:127, time[s]:0.005396
iteration:128, time[s]:0.005500
iteration:129, time[s]:0.005845
iteration:130, time[s]:0.005626
iteration:131, time[s]:0.005468
iteration:132, time[s]:0.005514
iteration:133, time[s]:0.005707
iteration:134, time[s]:0.005422
iteration:135, time[s]:0.005561
iteration:136, time[s]:0.005674
iteration:137, time[s]:0.005668
iteration:138, time[s]:0.005242
iteration:139, time[s]:0.005667
iteration:140, time[s]:0.005568
iteration:141, time[s]:0.005305
iteration:142, time[s]:0.005597
iteration:143, time[s]:0.005377
iteration:144, time[s]:0.005401
iteration:145, time[s]:0.005702
iteration:146, time[s]:0.005860
iteration:147, time[s]:0.005814
iteration:148, time[s]:0.005567
iteration:149, time[s]:0.005316
iteration:150, time[s]:0.005912
iteration:151, time[s]:0.005947
iteration:152, time[s]:0.005300
iteration:153, time[s]:0.005576
iteration:154, time[s]:0.005285
iteration:155, time[s]:0.005556
iteration:156, time[s]:0.005601
iteration:157, time[s]:0.005763
iteration:158, time[s]:0.006027
iteration:159, time[s]:0.005482
iteration:160, time[s]:0.005566
iteration:161, time[s]:0.005346
iteration:162, time[s]:0.005587
iteration:163, time[s]:0.005341
iteration:164, time[s]:0.005488
iteration:165, time[s]:0.005775
iteration:166, time[s]:0.005460
iteration:167, time[s]:0.005406
iteration:168, time[s]:0.005504
iteration:169, time[s]:0.005419
iteration:170, time[s]:0.005301
iteration:171, time[s]:0.005358
iteration:172, time[s]:0.005392
iteration:173, time[s]:0.005799
iteration:174, time[s]:0.005785
iteration:175, time[s]:0.005940
iteration:176, time[s]:0.005277
iteration:177, time[s]:0.005582
iteration:178, time[s]:0.005286
iteration:179, time[s]:0.005529
iteration:180, time[s]:0.005606
iteration:181, time[s]:0.005528
iteration:182, time[s]:0.005599
iteration:183, time[s]:0.005332
iteration:184, time[s]:0.005377
iteration:185, time[s]:0.005357
iteration:186, time[s]:0.005401
iteration:187, time[s]:0.005139
iteration:188, time[s]:0.005317
iteration:189, time[s]:0.005442
iteration:190, time[s]:0.005723
iteration:191, time[s]:0.005301
iteration:192, time[s]:0.005318
iteration:193, time[s]:0.005397
iteration:194, time[s]:0.005235
iteration:195, time[s]:0.005741
iteration:196, time[s]:0.005174
iteration:197, time[s]:0.005529
iteration:198, time[s]:0.005703
iteration:199, time[s]:0.006049
iteration:200, time[s]:0.005484
iteration:201, time[s]:0.005654
iteration:202, time[s]:0.005102
iteration:203, time[s]:0.005127
iteration:204, time[s]:0.005470
iteration:205, time[s]:0.005335
iteration:206, time[s]:0.005374
iteration:207, time[s]:0.005662
iteration:208, time[s]:0.005487
iteration:209, time[s]:0.005209
iteration:210, time[s]:0.005128
iteration:211, time[s]:0.005602
iteration:212, time[s]:0.005286
