XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo1b
alveo4b
alveo2b
alveo3b
alveo4c
alveo3c
alveo2a
alveo1a
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
Start Scatter test:
iteration:0, time[s]:0.011120
iteration:1, time[s]:0.006197
iteration:2, time[s]:0.006002
iteration:3, time[s]:0.006059
iteration:4, time[s]:0.005936
iteration:5, time[s]:0.005992
iteration:6, time[s]:0.005555
iteration:7, time[s]:0.005670
iteration:8, time[s]:0.005263
iteration:9, time[s]:0.005603
iteration:10, time[s]:0.005506
iteration:11, time[s]:0.005879
iteration:12, time[s]:0.005818
iteration:13, time[s]:0.006246
iteration:14, time[s]:0.005308
iteration:15, time[s]:0.005801
iteration:16, time[s]:0.005627
iteration:17, time[s]:0.005650
iteration:18, time[s]:0.005589
iteration:19, time[s]:0.005560
iteration:20, time[s]:0.005229
iteration:21, time[s]:0.005611
iteration:22, time[s]:0.005437
iteration:23, time[s]:0.005605
iteration:24, time[s]:0.005347
iteration:25, time[s]:0.005557
iteration:26, time[s]:0.018431
iteration:27, time[s]:0.005779
iteration:28, time[s]:0.005386
iteration:29, time[s]:0.005275
iteration:30, time[s]:0.005375
iteration:31, time[s]:0.005470
iteration:32, time[s]:0.005806
iteration:33, time[s]:0.005842
iteration:34, time[s]:0.005553
iteration:35, time[s]:0.005379
iteration:36, time[s]:0.005108
iteration:37, time[s]:0.005247
iteration:38, time[s]:0.005607
iteration:39, time[s]:0.005046
iteration:40, time[s]:0.005159
iteration:41, time[s]:0.005613
iteration:42, time[s]:0.005582
iteration:43, time[s]:0.005466
iteration:44, time[s]:0.005382
iteration:45, time[s]:0.005471
iteration:46, time[s]:0.005584
iteration:47, time[s]:0.005338
iteration:48, time[s]:0.005747
iteration:49, time[s]:0.005672
iteration:50, time[s]:0.005678
iteration:51, time[s]:0.005835
iteration:52, time[s]:0.005164
iteration:53, time[s]:0.005118
iteration:54, time[s]:0.005314
iteration:55, time[s]:0.005286
iteration:56, time[s]:0.005201
iteration:57, time[s]:0.005285
iteration:58, time[s]:0.005131
iteration:59, time[s]:0.005543
iteration:60, time[s]:0.005526
iteration:61, time[s]:0.005596
iteration:62, time[s]:0.005102
iteration:63, time[s]:0.005543
iteration:64, time[s]:0.005953
iteration:65, time[s]:0.005448
iteration:66, time[s]:0.005423
iteration:67, time[s]:0.005501
iteration:68, time[s]:0.005213
iteration:69, time[s]:0.004999
iteration:70, time[s]:0.005342
iteration:71, time[s]:0.005260
iteration:72, time[s]:0.005104
iteration:73, time[s]:0.005288
iteration:74, time[s]:0.005108
iteration:75, time[s]:0.005298
iteration:76, time[s]:0.005873
iteration:77, time[s]:0.005889
iteration:78, time[s]:0.005290
iteration:79, time[s]:0.005005
iteration:80, time[s]:0.005267
iteration:81, time[s]:0.005401
iteration:82, time[s]:0.005267
iteration:83, time[s]:0.005587
iteration:84, time[s]:0.005319
iteration:85, time[s]:0.005681
iteration:86, time[s]:0.005797
iteration:87, time[s]:0.005768
iteration:88, time[s]:0.005672
iteration:89, time[s]:0.005456
iteration:90, time[s]:0.005517
iteration:91, time[s]:0.005461
iteration:92, time[s]:0.005535
iteration:93, time[s]:0.005331
iteration:94, time[s]:0.005875
iteration:95, time[s]:0.005937
iteration:96, time[s]:0.005450
iteration:97, time[s]:0.005636
iteration:98, time[s]:0.005341
iteration:99, time[s]:0.005326
iteration:100, time[s]:0.005305
iteration:101, time[s]:0.005363
iteration:102, time[s]:0.005505
iteration:103, time[s]:0.005444
iteration:104, time[s]:0.020378
iteration:105, time[s]:0.005474
iteration:106, time[s]:0.005380
iteration:107, time[s]:0.005537
iteration:108, time[s]:0.005380
iteration:109, time[s]:0.005221
iteration:110, time[s]:0.005398
iteration:111, time[s]:0.004872
iteration:112, time[s]:0.005254
iteration:113, time[s]:0.005101
iteration:114, time[s]:0.005221
iteration:115, time[s]:0.005367
iteration:116, time[s]:0.005500
iteration:117, time[s]:0.005341
iteration:118, time[s]:0.005611
iteration:119, time[s]:0.005563
iteration:120, time[s]:0.005585
iteration:121, time[s]:0.005231
iteration:122, time[s]:0.005476
iteration:123, time[s]:0.005232
iteration:124, time[s]:0.005108
iteration:125, time[s]:0.005294
iteration:126, time[s]:0.005209
iteration:127, time[s]:0.005261
iteration:128, time[s]:0.005088
iteration:129, time[s]:0.005059
iteration:130, time[s]:0.005010
iteration:131, time[s]:0.005393
iteration:132, time[s]:0.005012
iteration:133, time[s]:0.005458
iteration:134, time[s]:0.005318
iteration:135, time[s]:0.005311
iteration:136, time[s]:0.005617
iteration:137, time[s]:0.005499
iteration:138, time[s]:0.005317
iteration:139, time[s]:0.005270
iteration:140, time[s]:0.005213
iteration:141, time[s]:0.005051
iteration:142, time[s]:0.005273
iteration:143, time[s]:0.005262
iteration:144, time[s]:0.005065
iteration:145, time[s]:0.005534
iteration:146, time[s]:0.005297
iteration:147, time[s]:0.005198
iteration:148, time[s]:0.005074
iteration:149, time[s]:0.005911
iteration:150, time[s]:0.005611
iteration:151, time[s]:0.005720
iteration:152, time[s]:0.005490
iteration:153, time[s]:0.004958
iteration:154, time[s]:0.005085
iteration:155, time[s]:0.005012
iteration:156, time[s]:0.005413
iteration:157, time[s]:0.005218
iteration:158, time[s]:0.005449
iteration:159, time[s]:0.005053
iteration:160, time[s]:0.005221
iteration:161, time[s]:0.005156
iteration:162, time[s]:0.005807
iteration:163, time[s]:0.005967
iteration:164, time[s]:0.005648
iteration:165, time[s]:0.005698
iteration:166, time[s]:0.005419
iteration:167, time[s]:0.005344
iteration:168, time[s]:0.005507
iteration:169, time[s]:0.005752
iteration:170, time[s]:0.005092
iteration:171, time[s]:0.005107
iteration:172, time[s]:0.005299
iteration:173, time[s]:0.005498
iteration:174, time[s]:0.005728
iteration:175, time[s]:0.005508
iteration:176, time[s]:0.005043
iteration:177, time[s]:0.005390
iteration:178, time[s]:0.004885
iteration:179, time[s]:0.005253
iteration:180, time[s]:0.004951
iteration:181, time[s]:0.005222
iteration:182, time[s]:0.005522
iteration:183, time[s]:0.005351
iteration:184, time[s]:0.005338
iteration:185, time[s]:0.005347
iteration:186, time[s]:0.005656
iteration:187, time[s]:0.005497
iteration:188, time[s]:0.006952
iteration:189, time[s]:0.006406
iteration:190, time[s]:0.005499
iteration:191, time[s]:0.005754
iteration:192, time[s]:0.005780
iteration:193, time[s]:0.005539
iteration:194, time[s]:0.005639
iteration:195, time[s]:0.005269
iteration:196, time[s]:0.005272
iteration:197, time[s]:0.005242
iteration:198, time[s]:0.005416
iteration:199, time[s]:0.005213
iteration:200, time[s]:0.005147
iteration:201, time[s]:0.005192
iteration:202, time[s]:0.005427
iteration:203, time[s]:0.005225
iteration:204, time[s]:0.005376
iteration:205, time[s]:0.005431
iteration:206, time[s]:0.005856
iteration:207, time[s]:0.005683
iteration:208, time[s]:0.005440
iteration:209, time[s]:0.005353
iteration:210, time[s]:0.005485
iteration:211, time[s]:0.005097
iteration:212, time[s]:0.005504
iteration:213, time[s]:0.005192
iteration:214, time[s]:0.005368
iteration:215, time[s]:0.005747
iteration:216, time[s]:0.005623
iteration:217, time[s]:0.005739
iteration:218, time[s]:0.005670
iteration:219, time[s]:0.005429
iteration:220, time[s]:0.005781
iteration:221, time[s]:0.005298
iteration:222, time[s]:0.005212
iteration:223, time[s]:0.005329
iteration:224, time[s]:0.005190
iteration:225, time[s]:0.005387
iteration:226, time[s]:0.005605
iteration:227, time[s]:0.005888
iteration:228, time[s]:0.005310
iteration:229, time[s]:0.005691
iteration:230, time[s]:0.005536
iteration:231, time[s]:0.005613
iteration:232, time[s]:0.005465
iteration:233, time[s]:0.005419
iteration:234, time[s]:0.005225
