XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2a
alveo3b
alveo4b
alveo1a
alveo2b
alveo1b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:33554432, num_elements:8388608, num_trials:100
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:100
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:33554432, num_elements:8388608, num_trials:100
Start Scatter test:
iteration:0, time[s]:0.017145
iteration:1, time[s]:0.013229
iteration:2, time[s]:0.011455
iteration:3, time[s]:0.010904
iteration:4, time[s]:0.010975
iteration:5, time[s]:0.010910
iteration:6, time[s]:0.010613
iteration:7, time[s]:0.010819
iteration:8, time[s]:0.011427
iteration:9, time[s]:0.011413
iteration:10, time[s]:0.010820
iteration:11, time[s]:0.010840
iteration:12, time[s]:0.010918
iteration:13, time[s]:0.011445
iteration:14, time[s]:0.010741
iteration:15, time[s]:0.010929
iteration:16, time[s]:0.011447
iteration:17, time[s]:0.011128
iteration:18, time[s]:0.010827
iteration:19, time[s]:0.010905
iteration:20, time[s]:0.010831
iteration:21, time[s]:0.010703
iteration:22, time[s]:0.011192
iteration:23, time[s]:0.010845
iteration:24, time[s]:0.010763
iteration:25, time[s]:0.011505
iteration:26, time[s]:0.011178
iteration:27, time[s]:0.011059
iteration:28, time[s]:0.010777
iteration:29, time[s]:0.011084
iteration:30, time[s]:0.011116
iteration:31, time[s]:0.011140
iteration:32, time[s]:0.010931
iteration:33, time[s]:0.011039
iteration:34, time[s]:0.011501
iteration:35, time[s]:0.011271
iteration:36, time[s]:0.010952
iteration:37, time[s]:0.011012
iteration:38, time[s]:0.011256
iteration:39, time[s]:0.011023
iteration:40, time[s]:0.010973
iteration:41, time[s]:0.010900
iteration:42, time[s]:0.011178
iteration:43, time[s]:0.011742
iteration:44, time[s]:0.011016
iteration:45, time[s]:0.011085
iteration:46, time[s]:0.010760
iteration:47, time[s]:0.010847
iteration:48, time[s]:0.011115
iteration:49, time[s]:0.011098
iteration:50, time[s]:0.010704
iteration:51, time[s]:0.011296
iteration:52, time[s]:0.011438
iteration:53, time[s]:0.011383
iteration:54, time[s]:0.011009
iteration:55, time[s]:0.011097
iteration:56, time[s]:0.011219
iteration:57, time[s]:0.010906
iteration:58, time[s]:0.011705
iteration:59, time[s]:0.011332
iteration:60, time[s]:0.011008
iteration:61, time[s]:0.011040
iteration:62, time[s]:0.010970
iteration:63, time[s]:0.010872
iteration:64, time[s]:0.011527
iteration:65, time[s]:0.010995
iteration:66, time[s]:0.011213
iteration:67, time[s]:0.011592
iteration:68, time[s]:0.011082
iteration:69, time[s]:0.011190
iteration:70, time[s]:0.011018
iteration:71, time[s]:0.010965
iteration:72, time[s]:0.010889
iteration:73, time[s]:0.010848
iteration:74, time[s]:0.010727
iteration:75, time[s]:0.011591
iteration:76, time[s]:0.011263
iteration:77, time[s]:0.011101
iteration:78, time[s]:0.010905
iteration:79, time[s]:0.010612
iteration:80, time[s]:0.010747
iteration:81, time[s]:0.010907
iteration:82, time[s]:0.010786
iteration:83, time[s]:0.010617
iteration:84, time[s]:0.010696
iteration:85, time[s]:0.011535
iteration:86, time[s]:0.011002
iteration:87, time[s]:0.011066
iteration:88, time[s]:0.010787
iteration:89, time[s]:0.010788
iteration:90, time[s]:0.011012
iteration:91, time[s]:0.010920
iteration:92, time[s]:0.010992
iteration:93, time[s]:0.011443
iteration:94, time[s]:0.011717
iteration:95, time[s]:0.011079
iteration:96, time[s]:0.011053
iteration:97, time[s]:0.010889
iteration:98, time[s]:0.010900
iteration:99, time[s]:0.011286
iteration:100, time[s]:0.010964
Data size = 33554432, Trials = 100
Avg MPI time [us]= *11083.233600, throughput [Gbps] = 24.219958
