XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo2a
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1048576, num_elements:262144, num_trials:200
Start Scatter test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1048576, num_elements:262144, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1048576, num_elements:262144, num_trials:200
iteration:0, F2F_time[s]:0.001828, H2H_time:0.000972, sync_time:0.000856
iteration:1, F2F_time[s]:0.001279, H2H_time:0.000554, sync_time:0.000725
iteration:2, F2F_time[s]:0.000999, H2H_time:0.000323, sync_time:0.000676
iteration:3, F2F_time[s]:0.001339, H2H_time:0.000578, sync_time:0.000761
iteration:4, F2F_time[s]:0.000995, H2H_time:0.000309, sync_time:0.000685
iteration:5, F2F_time[s]:0.001018, H2H_time:0.000338, sync_time:0.000680
iteration:6, F2F_time[s]:0.000997, H2H_time:0.000364, sync_time:0.000634
iteration:7, F2F_time[s]:0.000992, H2H_time:0.000294, sync_time:0.000698
iteration:8, F2F_time[s]:0.001006, H2H_time:0.000291, sync_time:0.000716
iteration:9, F2F_time[s]:0.001318, H2H_time:0.000538, sync_time:0.000781
iteration:10, F2F_time[s]:0.001242, H2H_time:0.000494, sync_time:0.000748
iteration:11, F2F_time[s]:0.001000, H2H_time:0.000289, sync_time:0.000711
iteration:12, F2F_time[s]:0.001221, H2H_time:0.000505, sync_time:0.000716
iteration:13, F2F_time[s]:0.001065, H2H_time:0.000334, sync_time:0.000731
iteration:14, F2F_time[s]:0.001249, H2H_time:0.000477, sync_time:0.000772
iteration:15, F2F_time[s]:0.004105, H2H_time:0.003318, sync_time:0.000787
iteration:16, F2F_time[s]:0.001014, H2H_time:0.000315, sync_time:0.000699
iteration:17, F2F_time[s]:0.001020, H2H_time:0.000308, sync_time:0.000713
iteration:18, F2F_time[s]:0.001003, H2H_time:0.000298, sync_time:0.000705
iteration:19, F2F_time[s]:0.001018, H2H_time:0.000298, sync_time:0.000720
iteration:20, F2F_time[s]:0.001027, H2H_time:0.000289, sync_time:0.000738
iteration:21, F2F_time[s]:0.001220, H2H_time:0.000452, sync_time:0.000768
iteration:22, F2F_time[s]:0.001171, H2H_time:0.000415, sync_time:0.000756
iteration:23, F2F_time[s]:0.000965, H2H_time:0.000288, sync_time:0.000677
iteration:24, F2F_time[s]:0.001143, H2H_time:0.000361, sync_time:0.000782
iteration:25, F2F_time[s]:0.001091, H2H_time:0.000372, sync_time:0.000719
iteration:26, F2F_time[s]:0.001159, H2H_time:0.000421, sync_time:0.000738
iteration:27, F2F_time[s]:0.001132, H2H_time:0.000423, sync_time:0.000709
iteration:28, F2F_time[s]:0.000976, H2H_time:0.000309, sync_time:0.000667
iteration:29, F2F_time[s]:0.001021, H2H_time:0.000312, sync_time:0.000709
iteration:30, F2F_time[s]:0.001166, H2H_time:0.000431, sync_time:0.000735
iteration:31, F2F_time[s]:0.001147, H2H_time:0.000457, sync_time:0.000690
iteration:32, F2F_time[s]:0.001112, H2H_time:0.000421, sync_time:0.000691
iteration:33, F2F_time[s]:0.001168, H2H_time:0.000453, sync_time:0.000714
iteration:34, F2F_time[s]:0.001167, H2H_time:0.000429, sync_time:0.000738
iteration:35, F2F_time[s]:0.001280, H2H_time:0.000471, sync_time:0.000809
iteration:36, F2F_time[s]:0.001214, H2H_time:0.000427, sync_time:0.000787
iteration:37, F2F_time[s]:0.001179, H2H_time:0.000432, sync_time:0.000748
iteration:38, F2F_time[s]:0.000988, H2H_time:0.000293, sync_time:0.000695
iteration:39, F2F_time[s]:0.001124, H2H_time:0.000428, sync_time:0.000696
iteration:40, F2F_time[s]:0.001174, H2H_time:0.000425, sync_time:0.000749
iteration:41, F2F_time[s]:0.000942, H2H_time:0.000301, sync_time:0.000640
iteration:42, F2F_time[s]:0.000971, H2H_time:0.000271, sync_time:0.000700
iteration:43, F2F_time[s]:0.000981, H2H_time:0.000273, sync_time:0.000708
iteration:44, F2F_time[s]:0.000995, H2H_time:0.000292, sync_time:0.000702
iteration:45, F2F_time[s]:0.001203, H2H_time:0.000431, sync_time:0.000772
iteration:46, F2F_time[s]:0.001015, H2H_time:0.000282, sync_time:0.000733
iteration:47, F2F_time[s]:0.001110, H2H_time:0.000364, sync_time:0.000746
iteration:48, F2F_time[s]:0.000943, H2H_time:0.000287, sync_time:0.000656
iteration:49, F2F_time[s]:0.000978, H2H_time:0.000280, sync_time:0.000698
iteration:50, F2F_time[s]:0.000938, H2H_time:0.000278, sync_time:0.000660
iteration:51, F2F_time[s]:0.000988, H2H_time:0.000279, sync_time:0.000709
iteration:52, F2F_time[s]:0.001159, H2H_time:0.000415, sync_time:0.000743
iteration:53, F2F_time[s]:0.001180, H2H_time:0.000421, sync_time:0.000759
iteration:54, F2F_time[s]:0.000985, H2H_time:0.000293, sync_time:0.000692
iteration:55, F2F_time[s]:0.000975, H2H_time:0.000274, sync_time:0.000702
iteration:56, F2F_time[s]:0.001145, H2H_time:0.000389, sync_time:0.000756
iteration:57, F2F_time[s]:0.001184, H2H_time:0.000409, sync_time:0.000775
iteration:58, F2F_time[s]:0.001167, H2H_time:0.000437, sync_time:0.000730
iteration:59, F2F_time[s]:0.001228, H2H_time:0.000435, sync_time:0.000793
iteration:60, F2F_time[s]:0.001016, H2H_time:0.000311, sync_time:0.000706
iteration:61, F2F_time[s]:0.001020, H2H_time:0.000311, sync_time:0.000709
iteration:62, F2F_time[s]:0.000952, H2H_time:0.000290, sync_time:0.000662
iteration:63, F2F_time[s]:0.000958, H2H_time:0.000266, sync_time:0.000691
iteration:64, F2F_time[s]:0.001303, H2H_time:0.000550, sync_time:0.000753
iteration:65, F2F_time[s]:0.000927, H2H_time:0.000276, sync_time:0.000650
iteration:66, F2F_time[s]:0.000994, H2H_time:0.000272, sync_time:0.000721
iteration:67, F2F_time[s]:0.001122, H2H_time:0.000416, sync_time:0.000706
iteration:68, F2F_time[s]:0.001001, H2H_time:0.000285, sync_time:0.000716
iteration:69, F2F_time[s]:0.001000, H2H_time:0.000304, sync_time:0.000697
iteration:70, F2F_time[s]:0.001209, H2H_time:0.000420, sync_time:0.000789
iteration:71, F2F_time[s]:0.001185, H2H_time:0.000436, sync_time:0.000749
iteration:72, F2F_time[s]:0.001184, H2H_time:0.000405, sync_time:0.000779
iteration:73, F2F_time[s]:0.000975, H2H_time:0.000283, sync_time:0.000692
iteration:74, F2F_time[s]:0.000931, H2H_time:0.000279, sync_time:0.000652
iteration:75, F2F_time[s]:0.000946, H2H_time:0.000279, sync_time:0.000668
iteration:76, F2F_time[s]:0.000940, H2H_time:0.000280, sync_time:0.000660
iteration:77, F2F_time[s]:0.000987, H2H_time:0.000270, sync_time:0.000717
iteration:78, F2F_time[s]:0.001005, H2H_time:0.000310, sync_time:0.000696
iteration:79, F2F_time[s]:0.000934, H2H_time:0.000283, sync_time:0.000652
iteration:80, F2F_time[s]:0.001091, H2H_time:0.000401, sync_time:0.000690
iteration:81, F2F_time[s]:0.001189, H2H_time:0.000429, sync_time:0.000760
iteration:82, F2F_time[s]:0.001156, H2H_time:0.000417, sync_time:0.000739
iteration:83, F2F_time[s]:0.001077, H2H_time:0.000427, sync_time:0.000650
iteration:84, F2F_time[s]:0.000998, H2H_time:0.000292, sync_time:0.000705
iteration:85, F2F_time[s]:0.000997, H2H_time:0.000302, sync_time:0.000695
iteration:86, F2F_time[s]:0.001021, H2H_time:0.000276, sync_time:0.000745
