XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo3b
alveo2b
alveo4c
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:131072, num_elements:32768, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:131072, num_elements:32768, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:131072, num_elements:32768, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:131072, num_elements:32768, num_trials:200
Start Scatter test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:131072, num_elements:32768, num_trials:200
iteration:0, F2F_time[s]:0.000775, H2H_time:0.000393, sync_time:0.000381
iteration:1, F2F_time[s]:0.000497, H2H_time:0.000196, sync_time:0.000302
iteration:2, F2F_time[s]:0.000308, H2H_time:0.000092, sync_time:0.000216
iteration:3, F2F_time[s]:0.000410, H2H_time:0.000098, sync_time:0.000312
iteration:4, F2F_time[s]:0.000400, H2H_time:0.000179, sync_time:0.000221
iteration:5, F2F_time[s]:0.000328, H2H_time:0.000094, sync_time:0.000234
iteration:6, F2F_time[s]:0.000285, H2H_time:0.000090, sync_time:0.000194
iteration:7, F2F_time[s]:0.000375, H2H_time:0.000146, sync_time:0.000229
iteration:8, F2F_time[s]:0.000337, H2H_time:0.000144, sync_time:0.000193
iteration:9, F2F_time[s]:0.000359, H2H_time:0.000133, sync_time:0.000226
iteration:10, F2F_time[s]:0.000352, H2H_time:0.000140, sync_time:0.000212
iteration:11, F2F_time[s]:0.000357, H2H_time:0.000132, sync_time:0.000225
iteration:12, F2F_time[s]:0.000368, H2H_time:0.000147, sync_time:0.000220
iteration:13, F2F_time[s]:0.000366, H2H_time:0.000144, sync_time:0.000222
iteration:14, F2F_time[s]:0.000352, H2H_time:0.000134, sync_time:0.000218
iteration:15, F2F_time[s]:0.000345, H2H_time:0.000130, sync_time:0.000215
iteration:16, F2F_time[s]:0.000326, H2H_time:0.000135, sync_time:0.000191
iteration:17, F2F_time[s]:0.000376, H2H_time:0.000143, sync_time:0.000233
iteration:18, F2F_time[s]:0.000321, H2H_time:0.000132, sync_time:0.000188
iteration:19, F2F_time[s]:0.000352, H2H_time:0.000140, sync_time:0.000213
iteration:20, F2F_time[s]:0.000381, H2H_time:0.000164, sync_time:0.000217
iteration:21, F2F_time[s]:0.000371, H2H_time:0.000176, sync_time:0.000196
iteration:22, F2F_time[s]:0.000362, H2H_time:0.000166, sync_time:0.000196
iteration:23, F2F_time[s]:0.000395, H2H_time:0.000166, sync_time:0.000228
iteration:24, F2F_time[s]:0.000380, H2H_time:0.000160, sync_time:0.000219
iteration:25, F2F_time[s]:0.000379, H2H_time:0.000161, sync_time:0.000219
iteration:26, F2F_time[s]:0.000399, H2H_time:0.000169, sync_time:0.000229
iteration:27, F2F_time[s]:0.000396, H2H_time:0.000163, sync_time:0.000234
iteration:28, F2F_time[s]:0.000373, H2H_time:0.000172, sync_time:0.000201
iteration:29, F2F_time[s]:0.000404, H2H_time:0.000171, sync_time:0.000233
iteration:30, F2F_time[s]:0.000380, H2H_time:0.000154, sync_time:0.000226
iteration:31, F2F_time[s]:0.000369, H2H_time:0.000152, sync_time:0.000217
iteration:32, F2F_time[s]:0.000350, H2H_time:0.000154, sync_time:0.000197
iteration:33, F2F_time[s]:0.000320, H2H_time:0.000122, sync_time:0.000198
iteration:34, F2F_time[s]:0.000344, H2H_time:0.000120, sync_time:0.000224
iteration:35, F2F_time[s]:0.000329, H2H_time:0.000125, sync_time:0.000203
iteration:36, F2F_time[s]:0.000353, H2H_time:0.000128, sync_time:0.000225
iteration:37, F2F_time[s]:0.000306, H2H_time:0.000131, sync_time:0.000175
iteration:38, F2F_time[s]:0.000329, H2H_time:0.000120, sync_time:0.000210
iteration:39, F2F_time[s]:0.000314, H2H_time:0.000120, sync_time:0.000194
iteration:40, F2F_time[s]:0.000317, H2H_time:0.000130, sync_time:0.000188
iteration:41, F2F_time[s]:0.000319, H2H_time:0.000132, sync_time:0.000187
iteration:42, F2F_time[s]:0.000299, H2H_time:0.000130, sync_time:0.000169
iteration:43, F2F_time[s]:0.000320, H2H_time:0.000131, sync_time:0.000189
iteration:44, F2F_time[s]:0.000304, H2H_time:0.000119, sync_time:0.000185
iteration:45, F2F_time[s]:0.000301, H2H_time:0.000129, sync_time:0.000172
iteration:46, F2F_time[s]:0.000334, H2H_time:0.000163, sync_time:0.000171
iteration:47, F2F_time[s]:0.000360, H2H_time:0.000153, sync_time:0.000207
iteration:48, F2F_time[s]:0.000351, H2H_time:0.000152, sync_time:0.000199
iteration:49, F2F_time[s]:0.000347, H2H_time:0.000152, sync_time:0.000195
iteration:50, F2F_time[s]:0.000345, H2H_time:0.000149, sync_time:0.000196
iteration:51, F2F_time[s]:0.000348, H2H_time:0.000153, sync_time:0.000195
iteration:52, F2F_time[s]:0.000359, H2H_time:0.000152, sync_time:0.000207
iteration:53, F2F_time[s]:0.000347, H2H_time:0.000148, sync_time:0.000198
iteration:54, F2F_time[s]:0.000324, H2H_time:0.000152, sync_time:0.000172
iteration:55, F2F_time[s]:0.000345, H2H_time:0.000154, sync_time:0.000191
iteration:56, F2F_time[s]:0.000350, H2H_time:0.000161, sync_time:0.000188
iteration:57, F2F_time[s]:0.000336, H2H_time:0.000149, sync_time:0.000187
iteration:58, F2F_time[s]:0.000342, H2H_time:0.000152, sync_time:0.000190
iteration:59, F2F_time[s]:0.000338, H2H_time:0.000152, sync_time:0.000185
iteration:60, F2F_time[s]:0.000333, H2H_time:0.000128, sync_time:0.000204
iteration:61, F2F_time[s]:0.000321, H2H_time:0.000130, sync_time:0.000191
iteration:62, F2F_time[s]:0.000347, H2H_time:0.000118, sync_time:0.000229
iteration:63, F2F_time[s]:0.000328, H2H_time:0.000128, sync_time:0.000200
iteration:64, F2F_time[s]:0.000365, H2H_time:0.000165, sync_time:0.000200
iteration:65, F2F_time[s]:0.000328, H2H_time:0.000119, sync_time:0.000209
iteration:66, F2F_time[s]:0.000323, H2H_time:0.000129, sync_time:0.000194
iteration:67, F2F_time[s]:0.000379, H2H_time:0.000160, sync_time:0.000219
iteration:68, F2F_time[s]:0.000330, H2H_time:0.000130, sync_time:0.000200
iteration:69, F2F_time[s]:0.000357, H2H_time:0.000162, sync_time:0.000196
iteration:70, F2F_time[s]:0.000313, H2H_time:0.000128, sync_time:0.000185
iteration:71, F2F_time[s]:0.000300, H2H_time:0.000116, sync_time:0.000184
iteration:72, F2F_time[s]:0.000308, H2H_time:0.000114, sync_time:0.000195
iteration:73, F2F_time[s]:0.000354, H2H_time:0.000151, sync_time:0.000203
iteration:74, F2F_time[s]:0.000335, H2H_time:0.000151, sync_time:0.000183
iteration:75, F2F_time[s]:0.000326, H2H_time:0.000159, sync_time:0.000167
iteration:76, F2F_time[s]:0.000314, H2H_time:0.000148, sync_time:0.000167
iteration:77, F2F_time[s]:0.000311, H2H_time:0.000150, sync_time:0.000161
iteration:78, F2F_time[s]:0.000351, H2H_time:0.000160, sync_time:0.000191
iteration:79, F2F_time[s]:0.000362, H2H_time:0.000160, sync_time:0.000201
iteration:80, F2F_time[s]:0.000350, H2H_time:0.000151, sync_time:0.000200
iteration:81, F2F_time[s]:0.000346, H2H_time:0.000148, sync_time:0.000199
iteration:82, F2F_time[s]:0.000361, H2H_time:0.000162, sync_time:0.000199
iteration:83, F2F_time[s]:0.000348, H2H_time:0.000151, sync_time:0.000197
iteration:84, F2F_time[s]:0.000355, H2H_time:0.000149, sync_time:0.000206
iteration:85, F2F_time[s]:0.000313, H2H_time:0.000150, sync_time:0.000163
iteration:86, F2F_time[s]:0.000319, H2H_time:0.000123, sync_time:0.000195
iteration:87, F2F_time[s]:0.000323, H2H_time:0.000125, sync_time:0.000198
iteration:88, F2F_time[s]:0.000285, H2H_time:0.000118, sync_time:0.000167
iteration:89, F2F_time[s]:0.000304, H2H_time:0.000118, sync_time:0.000186
iteration:90, F2F_time[s]:0.000286, H2H_time:0.000117, sync_time:0.000169
iteration:91, F2F_time[s]:0.000333, H2H_time:0.000127, sync_time:0.000207
iteration:92, F2F_time[s]:0.000310, H2H_time:0.000116, sync_time:0.000194
iteration:93, F2F_time[s]:0.000332, H2H_time:0.000126, sync_time:0.000205
iteration:94, F2F_time[s]:0.000301, H2H_time:0.000115, sync_time:0.000186
iteration:95, F2F_time[s]:0.000307, H2H_time:0.000117, sync_time:0.000191
iteration:96, F2F_time[s]:0.000341, H2H_time:0.000128, sync_time:0.000214
iteration:97, F2F_time[s]:0.000318, H2H_time:0.000117, sync_time:0.000201
iteration:98, F2F_time[s]:0.000332, H2H_time:0.000128, sync_time:0.000204
iteration:99, F2F_time[s]:0.000315, H2H_time:0.000161, sync_time:0.000155
iteration:100, F2F_time[s]:0.000360, H2H_time:0.000160, sync_time:0.000200
iteration:101, F2F_time[s]:0.000348, H2H_time:0.000150, sync_time:0.000198
iteration:102, F2F_time[s]:0.000364, H2H_time:0.000147, sync_time:0.000217
iteration:103, F2F_time[s]:0.000361, H2H_time:0.000162, sync_time:0.000199
iteration:104, F2F_time[s]:0.000369, H2H_time:0.000153, sync_time:0.000216
iteration:105, F2F_time[s]:0.000352, H2H_time:0.000161, sync_time:0.000191
iteration:106, F2F_time[s]:0.000353, H2H_time:0.000160, sync_time:0.000193
iteration:107, F2F_time[s]:0.000353, H2H_time:0.000148, sync_time:0.000205
iteration:108, F2F_time[s]:0.000325, H2H_time:0.000149, sync_time:0.000176
iteration:109, F2F_time[s]:0.000356, H2H_time:0.000150, sync_time:0.000206
iteration:110, F2F_time[s]:0.000335, H2H_time:0.000149, sync_time:0.000186
iteration:111, F2F_time[s]:0.000357, H2H_time:0.000149, sync_time:0.000208
iteration:112, F2F_time[s]:0.000325, H2H_time:0.000117, sync_time:0.000208
iteration:113, F2F_time[s]:0.000350, H2H_time:0.000128, sync_time:0.000222
iteration:114, F2F_time[s]:0.000381, H2H_time:0.000161, sync_time:0.000220
iteration:115, F2F_time[s]:0.000323, H2H_time:0.000126, sync_time:0.000197
iteration:116, F2F_time[s]:0.000321, H2H_time:0.000117, sync_time:0.000203
iteration:117, F2F_time[s]:0.000312, H2H_time:0.000115, sync_time:0.000197
