XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo2a
alveo1a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
Start Scatter test:
iteration:0, F2F_time[s]:0.011013, H2H_time:0.006371, sync_time:0.004642
iteration:1, F2F_time[s]:0.009413, H2H_time:0.004876, sync_time:0.004537
iteration:2, F2F_time[s]:0.009577, H2H_time:0.004940, sync_time:0.004637
iteration:3, F2F_time[s]:0.009797, H2H_time:0.005164, sync_time:0.004632
iteration:4, F2F_time[s]:0.008447, H2H_time:0.003847, sync_time:0.004601
iteration:5, F2F_time[s]:0.008716, H2H_time:0.004065, sync_time:0.004651
iteration:6, F2F_time[s]:0.009468, H2H_time:0.004922, sync_time:0.004546
iteration:7, F2F_time[s]:0.008941, H2H_time:0.004323, sync_time:0.004618
iteration:8, F2F_time[s]:0.008774, H2H_time:0.004133, sync_time:0.004641
iteration:9, F2F_time[s]:0.008802, H2H_time:0.004180, sync_time:0.004622
iteration:10, F2F_time[s]:0.008718, H2H_time:0.004125, sync_time:0.004593
iteration:11, F2F_time[s]:0.008675, H2H_time:0.004081, sync_time:0.004594
iteration:12, F2F_time[s]:0.008597, H2H_time:0.003971, sync_time:0.004625
iteration:13, F2F_time[s]:0.008584, H2H_time:0.003950, sync_time:0.004634
iteration:14, F2F_time[s]:0.008710, H2H_time:0.004108, sync_time:0.004602
iteration:15, F2F_time[s]:0.008376, H2H_time:0.003760, sync_time:0.004615
iteration:16, F2F_time[s]:0.009000, H2H_time:0.004362, sync_time:0.004639
iteration:17, F2F_time[s]:0.008672, H2H_time:0.004052, sync_time:0.004620
iteration:18, F2F_time[s]:0.008763, H2H_time:0.004097, sync_time:0.004666
iteration:19, F2F_time[s]:0.008684, H2H_time:0.004043, sync_time:0.004641
iteration:20, F2F_time[s]:0.008600, H2H_time:0.003980, sync_time:0.004620
iteration:21, F2F_time[s]:0.008633, H2H_time:0.004012, sync_time:0.004621
iteration:22, F2F_time[s]:0.008693, H2H_time:0.004050, sync_time:0.004643
iteration:23, F2F_time[s]:0.008456, H2H_time:0.003810, sync_time:0.004646
iteration:24, F2F_time[s]:0.008612, H2H_time:0.004000, sync_time:0.004612
iteration:25, F2F_time[s]:0.008641, H2H_time:0.004096, sync_time:0.004545
iteration:26, F2F_time[s]:0.008862, H2H_time:0.004258, sync_time:0.004604
iteration:27, F2F_time[s]:0.008733, H2H_time:0.004073, sync_time:0.004660
iteration:28, F2F_time[s]:0.009493, H2H_time:0.004837, sync_time:0.004656
iteration:29, F2F_time[s]:0.009447, H2H_time:0.004900, sync_time:0.004547
iteration:30, F2F_time[s]:0.009399, H2H_time:0.004775, sync_time:0.004624
iteration:31, F2F_time[s]:0.008868, H2H_time:0.004306, sync_time:0.004562
iteration:32, F2F_time[s]:0.008668, H2H_time:0.004113, sync_time:0.004555
iteration:33, F2F_time[s]:0.009127, H2H_time:0.004495, sync_time:0.004632
iteration:34, F2F_time[s]:0.009646, H2H_time:0.005014, sync_time:0.004632
iteration:35, F2F_time[s]:0.009386, H2H_time:0.004844, sync_time:0.004542
iteration:36, F2F_time[s]:0.009350, H2H_time:0.004708, sync_time:0.004642
iteration:37, F2F_time[s]:0.009586, H2H_time:0.005002, sync_time:0.004584
iteration:38, F2F_time[s]:0.009307, H2H_time:0.004662, sync_time:0.004646
iteration:39, F2F_time[s]:0.009431, H2H_time:0.004903, sync_time:0.004528
iteration:40, F2F_time[s]:0.009221, H2H_time:0.004662, sync_time:0.004559
iteration:41, F2F_time[s]:0.008565, H2H_time:0.003952, sync_time:0.004613
