XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo3b
alveo3c
alveo2b
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:2097152, num_elements:524288, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:200
Start Scatter test:
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:2097152, num_elements:524288, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:2097152, num_elements:524288, num_trials:200
iteration:0, F2F_time[s]:0.001762, H2H_time:0.000852, sync_time:0.000910
iteration:1, F2F_time[s]:0.001508, H2H_time:0.000627, sync_time:0.000881
iteration:2, F2F_time[s]:0.001466, H2H_time:0.000593, sync_time:0.000873
iteration:3, F2F_time[s]:0.001301, H2H_time:0.000468, sync_time:0.000833
iteration:4, F2F_time[s]:0.001309, H2H_time:0.000457, sync_time:0.000852
iteration:5, F2F_time[s]:0.001554, H2H_time:0.000665, sync_time:0.000889
iteration:6, F2F_time[s]:0.001349, H2H_time:0.000504, sync_time:0.000845
iteration:7, F2F_time[s]:0.001814, H2H_time:0.000860, sync_time:0.000954
iteration:8, F2F_time[s]:0.001533, H2H_time:0.000617, sync_time:0.000916
iteration:9, F2F_time[s]:0.001496, H2H_time:0.000636, sync_time:0.000860
iteration:10, F2F_time[s]:0.001254, H2H_time:0.000416, sync_time:0.000838
iteration:11, F2F_time[s]:0.001307, H2H_time:0.000477, sync_time:0.000830
iteration:12, F2F_time[s]:0.001306, H2H_time:0.000493, sync_time:0.000813
iteration:13, F2F_time[s]:0.001495, H2H_time:0.000570, sync_time:0.000925
iteration:14, F2F_time[s]:0.001364, H2H_time:0.000521, sync_time:0.000843
iteration:15, F2F_time[s]:0.001139, H2H_time:0.000379, sync_time:0.000760
iteration:16, F2F_time[s]:0.001292, H2H_time:0.000457, sync_time:0.000835
iteration:17, F2F_time[s]:0.001530, H2H_time:0.000635, sync_time:0.000895
iteration:18, F2F_time[s]:0.001493, H2H_time:0.000627, sync_time:0.000865
iteration:19, F2F_time[s]:0.001331, H2H_time:0.000473, sync_time:0.000858
iteration:20, F2F_time[s]:0.001671, H2H_time:0.000815, sync_time:0.000856
iteration:21, F2F_time[s]:0.001535, H2H_time:0.000599, sync_time:0.000936
iteration:22, F2F_time[s]:0.001677, H2H_time:0.000832, sync_time:0.000845
iteration:23, F2F_time[s]:0.001579, H2H_time:0.000665, sync_time:0.000914
iteration:24, F2F_time[s]:0.001732, H2H_time:0.000748, sync_time:0.000984
iteration:25, F2F_time[s]:0.001589, H2H_time:0.000666, sync_time:0.000922
iteration:26, F2F_time[s]:0.001872, H2H_time:0.000765, sync_time:0.001106
iteration:27, F2F_time[s]:0.001565, H2H_time:0.000584, sync_time:0.000981
iteration:28, F2F_time[s]:0.001834, H2H_time:0.000870, sync_time:0.000964
iteration:29, F2F_time[s]:0.001808, H2H_time:0.000832, sync_time:0.000976
iteration:30, F2F_time[s]:0.001487, H2H_time:0.000573, sync_time:0.000915
iteration:31, F2F_time[s]:0.001709, H2H_time:0.000807, sync_time:0.000902
iteration:32, F2F_time[s]:0.001778, H2H_time:0.000840, sync_time:0.000938
iteration:33, F2F_time[s]:0.001225, H2H_time:0.000404, sync_time:0.000821
iteration:34, F2F_time[s]:0.001585, H2H_time:0.000655, sync_time:0.000930
iteration:35, F2F_time[s]:0.001302, H2H_time:0.000437, sync_time:0.000866
iteration:36, F2F_time[s]:0.001485, H2H_time:0.000591, sync_time:0.000894
iteration:37, F2F_time[s]:0.001559, H2H_time:0.000659, sync_time:0.000899
iteration:38, F2F_time[s]:0.001325, H2H_time:0.000500, sync_time:0.000825
iteration:39, F2F_time[s]:0.001521, H2H_time:0.000653, sync_time:0.000868
iteration:40, F2F_time[s]:0.001221, H2H_time:0.000419, sync_time:0.000802
iteration:41, F2F_time[s]:0.001305, H2H_time:0.000487, sync_time:0.000818
iteration:42, F2F_time[s]:0.001426, H2H_time:0.000561, sync_time:0.000865
iteration:43, F2F_time[s]:0.001675, H2H_time:0.000743, sync_time:0.000932
iteration:44, F2F_time[s]:0.001419, H2H_time:0.000557, sync_time:0.000862
iteration:45, F2F_time[s]:0.001407, H2H_time:0.000552, sync_time:0.000855
iteration:46, F2F_time[s]:0.001688, H2H_time:0.000842, sync_time:0.000845
iteration:47, F2F_time[s]:0.001718, H2H_time:0.000837, sync_time:0.000881
iteration:48, F2F_time[s]:0.001693, H2H_time:0.000825, sync_time:0.000868
iteration:49, F2F_time[s]:0.001726, H2H_time:0.000848, sync_time:0.000878
iteration:50, F2F_time[s]:0.001698, H2H_time:0.000822, sync_time:0.000876
