XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo3b
alveo2b
alveo4c
alveo2a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:262144, num_elements:65536, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:262144, num_elements:65536, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:200
Start Scatter test:
iteration:0, F2F_time[s]:0.000885, H2H_time:0.000355, sync_time:0.000530
iteration:1, F2F_time[s]:0.000630, H2H_time:0.000210, sync_time:0.000420
iteration:2, F2F_time[s]:0.000560, H2H_time:0.000205, sync_time:0.000354
iteration:3, F2F_time[s]:0.000542, H2H_time:0.000191, sync_time:0.000351
iteration:4, F2F_time[s]:0.000533, H2H_time:0.000180, sync_time:0.000353
iteration:5, F2F_time[s]:0.000485, H2H_time:0.000154, sync_time:0.000331
iteration:6, F2F_time[s]:0.000558, H2H_time:0.000229, sync_time:0.000329
iteration:7, F2F_time[s]:0.000459, H2H_time:0.000132, sync_time:0.000326
iteration:8, F2F_time[s]:0.000467, H2H_time:0.000137, sync_time:0.000330
iteration:9, F2F_time[s]:0.000476, H2H_time:0.000140, sync_time:0.000335
iteration:10, F2F_time[s]:0.000512, H2H_time:0.000136, sync_time:0.000376
iteration:11, F2F_time[s]:0.000444, H2H_time:0.000139, sync_time:0.000306
iteration:12, F2F_time[s]:0.000541, H2H_time:0.000218, sync_time:0.000323
iteration:13, F2F_time[s]:0.000513, H2H_time:0.000186, sync_time:0.000327
iteration:14, F2F_time[s]:0.000580, H2H_time:0.000222, sync_time:0.000358
iteration:15, F2F_time[s]:0.000541, H2H_time:0.000227, sync_time:0.000314
iteration:16, F2F_time[s]:0.000497, H2H_time:0.000168, sync_time:0.000329
iteration:17, F2F_time[s]:0.000470, H2H_time:0.000167, sync_time:0.000303
iteration:18, F2F_time[s]:0.000493, H2H_time:0.000172, sync_time:0.000320
iteration:19, F2F_time[s]:0.000491, H2H_time:0.000165, sync_time:0.000326
iteration:20, F2F_time[s]:0.000478, H2H_time:0.000156, sync_time:0.000322
iteration:21, F2F_time[s]:0.000475, H2H_time:0.000160, sync_time:0.000315
iteration:22, F2F_time[s]:0.000468, H2H_time:0.000147, sync_time:0.000322
iteration:23, F2F_time[s]:0.000441, H2H_time:0.000178, sync_time:0.000263
iteration:24, F2F_time[s]:0.000448, H2H_time:0.000130, sync_time:0.000318
iteration:25, F2F_time[s]:0.000467, H2H_time:0.000139, sync_time:0.000329
iteration:26, F2F_time[s]:0.000461, H2H_time:0.000129, sync_time:0.000332
iteration:27, F2F_time[s]:0.000468, H2H_time:0.000155, sync_time:0.000313
iteration:28, F2F_time[s]:0.000463, H2H_time:0.000139, sync_time:0.000325
iteration:29, F2F_time[s]:0.000403, H2H_time:0.000144, sync_time:0.000259
iteration:30, F2F_time[s]:0.000453, H2H_time:0.000186, sync_time:0.000267
iteration:31, F2F_time[s]:0.000474, H2H_time:0.000143, sync_time:0.000331
iteration:32, F2F_time[s]:0.000430, H2H_time:0.000148, sync_time:0.000282
iteration:33, F2F_time[s]:0.000494, H2H_time:0.000205, sync_time:0.000289
iteration:34, F2F_time[s]:0.000439, H2H_time:0.000157, sync_time:0.000282
iteration:35, F2F_time[s]:0.000424, H2H_time:0.000156, sync_time:0.000268
iteration:36, F2F_time[s]:0.000470, H2H_time:0.000204, sync_time:0.000266
iteration:37, F2F_time[s]:0.000488, H2H_time:0.000211, sync_time:0.000277
iteration:38, F2F_time[s]:0.000413, H2H_time:0.000146, sync_time:0.000267
iteration:39, F2F_time[s]:0.000450, H2H_time:0.000159, sync_time:0.000291
iteration:40, F2F_time[s]:0.000527, H2H_time:0.000212, sync_time:0.000315
iteration:41, F2F_time[s]:0.000560, H2H_time:0.000236, sync_time:0.000325
iteration:42, F2F_time[s]:0.000515, H2H_time:0.000192, sync_time:0.000323
iteration:43, F2F_time[s]:0.000520, H2H_time:0.000199, sync_time:0.000321
iteration:44, F2F_time[s]:0.000527, H2H_time:0.000196, sync_time:0.000332
iteration:45, F2F_time[s]:0.000532, H2H_time:0.000193, sync_time:0.000339
