XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo4b
alveo3b
alveo3c
alveo4c
alveo1a
alveo2b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:262144, num_elements:65536, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:262144, num_elements:65536, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:262144, num_elements:65536, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:262144, num_elements:65536, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:200
Start Scatter test:
iteration:0, F2F_time[s]:0.000827, H2H_time:0.000320, sync_time:0.000507
iteration:1, F2F_time[s]:0.000577, H2H_time:0.000172, sync_time:0.000404
iteration:2, F2F_time[s]:0.000682, H2H_time:0.000216, sync_time:0.000467
iteration:3, F2F_time[s]:0.000518, H2H_time:0.000162, sync_time:0.000357
iteration:4, F2F_time[s]:0.000616, H2H_time:0.000216, sync_time:0.000400
iteration:5, F2F_time[s]:0.000464, H2H_time:0.000135, sync_time:0.000329
iteration:6, F2F_time[s]:0.000399, H2H_time:0.000134, sync_time:0.000265
iteration:7, F2F_time[s]:0.000400, H2H_time:0.000130, sync_time:0.000270
iteration:8, F2F_time[s]:0.000395, H2H_time:0.000126, sync_time:0.000270
iteration:9, F2F_time[s]:0.000404, H2H_time:0.000126, sync_time:0.000277
iteration:10, F2F_time[s]:0.000388, H2H_time:0.000123, sync_time:0.000265
iteration:11, F2F_time[s]:0.000407, H2H_time:0.000137, sync_time:0.000270
iteration:12, F2F_time[s]:0.000393, H2H_time:0.000132, sync_time:0.000261
iteration:13, F2F_time[s]:0.000383, H2H_time:0.000125, sync_time:0.000259
iteration:14, F2F_time[s]:0.000388, H2H_time:0.000130, sync_time:0.000258
iteration:15, F2F_time[s]:0.000387, H2H_time:0.000125, sync_time:0.000262
iteration:16, F2F_time[s]:0.000444, H2H_time:0.000182, sync_time:0.000261
iteration:17, F2F_time[s]:0.000457, H2H_time:0.000142, sync_time:0.000315
iteration:18, F2F_time[s]:0.000399, H2H_time:0.000132, sync_time:0.000267
iteration:19, F2F_time[s]:0.000389, H2H_time:0.000128, sync_time:0.000261
iteration:20, F2F_time[s]:0.000405, H2H_time:0.000127, sync_time:0.000278
iteration:21, F2F_time[s]:0.000398, H2H_time:0.000130, sync_time:0.000268
iteration:22, F2F_time[s]:0.000388, H2H_time:0.000124, sync_time:0.000264
iteration:23, F2F_time[s]:0.000393, H2H_time:0.000131, sync_time:0.000262
iteration:24, F2F_time[s]:0.000388, H2H_time:0.000124, sync_time:0.000264
iteration:25, F2F_time[s]:0.000386, H2H_time:0.000127, sync_time:0.000259
iteration:26, F2F_time[s]:0.000394, H2H_time:0.000125, sync_time:0.000269
iteration:27, F2F_time[s]:0.000377, H2H_time:0.000127, sync_time:0.000250
iteration:28, F2F_time[s]:0.000372, H2H_time:0.000120, sync_time:0.000252
iteration:29, F2F_time[s]:0.000429, H2H_time:0.000180, sync_time:0.000250
iteration:30, F2F_time[s]:0.000428, H2H_time:0.000179, sync_time:0.000248
iteration:31, F2F_time[s]:0.000424, H2H_time:0.000174, sync_time:0.000250
iteration:32, F2F_time[s]:0.000425, H2H_time:0.000175, sync_time:0.000250
iteration:33, F2F_time[s]:0.000424, H2H_time:0.000173, sync_time:0.000252
iteration:34, F2F_time[s]:0.000424, H2H_time:0.000179, sync_time:0.000245
iteration:35, F2F_time[s]:0.000387, H2H_time:0.000140, sync_time:0.000248
iteration:36, F2F_time[s]:0.000393, H2H_time:0.000146, sync_time:0.000247
iteration:37, F2F_time[s]:0.000402, H2H_time:0.000153, sync_time:0.000249
iteration:38, F2F_time[s]:0.000405, H2H_time:0.000147, sync_time:0.000258
iteration:39, F2F_time[s]:0.000381, H2H_time:0.000120, sync_time:0.000261
iteration:40, F2F_time[s]:0.000372, H2H_time:0.000121, sync_time:0.000251
iteration:41, F2F_time[s]:0.000378, H2H_time:0.000121, sync_time:0.000257
iteration:42, F2F_time[s]:0.000373, H2H_time:0.000119, sync_time:0.000254
iteration:43, F2F_time[s]:0.000395, H2H_time:0.000141, sync_time:0.000254
iteration:44, F2F_time[s]:0.000390, H2H_time:0.000122, sync_time:0.000268
iteration:45, F2F_time[s]:0.000390, H2H_time:0.000131, sync_time:0.000259
iteration:46, F2F_time[s]:0.000401, H2H_time:0.000144, sync_time:0.000257
iteration:47, F2F_time[s]:0.000398, H2H_time:0.000144, sync_time:0.000254
iteration:48, F2F_time[s]:0.000390, H2H_time:0.000136, sync_time:0.000254
iteration:49, F2F_time[s]:0.000450, H2H_time:0.000180, sync_time:0.000270
iteration:50, F2F_time[s]:0.000428, H2H_time:0.000174, sync_time:0.000254
iteration:51, F2F_time[s]:0.000435, H2H_time:0.000179, sync_time:0.000256
iteration:52, F2F_time[s]:0.000420, H2H_time:0.000172, sync_time:0.000248
iteration:53, F2F_time[s]:0.000421, H2H_time:0.000168, sync_time:0.000253
iteration:54, F2F_time[s]:0.000421, H2H_time:0.000172, sync_time:0.000250
iteration:55, F2F_time[s]:0.000419, H2H_time:0.000170, sync_time:0.000250
iteration:56, F2F_time[s]:0.000416, H2H_time:0.000168, sync_time:0.000249
