XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3c
alveo4c
alveo1a
alveo3b
alveo2a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:33554432, num_elements:8388608, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:200
Start Scatter test:
iteration:0, F2F_time[s]:0.020539, H2H_time:0.013280, sync_time:0.007259
iteration:1, F2F_time[s]:0.015845, H2H_time:0.008623, sync_time:0.007223
iteration:2, F2F_time[s]:0.015844, H2H_time:0.008540, sync_time:0.007304
iteration:3, F2F_time[s]:0.014209, H2H_time:0.006926, sync_time:0.007284
iteration:4, F2F_time[s]:0.015335, H2H_time:0.008062, sync_time:0.007273
iteration:5, F2F_time[s]:0.014054, H2H_time:0.006745, sync_time:0.007309
iteration:6, F2F_time[s]:0.015195, H2H_time:0.007954, sync_time:0.007242
iteration:7, F2F_time[s]:0.013789, H2H_time:0.006596, sync_time:0.007192
iteration:8, F2F_time[s]:0.014311, H2H_time:0.007018, sync_time:0.007293
iteration:9, F2F_time[s]:0.014772, H2H_time:0.007537, sync_time:0.007235
iteration:10, F2F_time[s]:0.015715, H2H_time:0.008474, sync_time:0.007241
iteration:11, F2F_time[s]:0.014106, H2H_time:0.006829, sync_time:0.007276
iteration:12, F2F_time[s]:0.015563, H2H_time:0.008273, sync_time:0.007290
iteration:13, F2F_time[s]:0.014076, H2H_time:0.006894, sync_time:0.007182
iteration:14, F2F_time[s]:0.015693, H2H_time:0.008505, sync_time:0.007188
iteration:15, F2F_time[s]:0.013761, H2H_time:0.006511, sync_time:0.007250
iteration:16, F2F_time[s]:0.016058, H2H_time:0.008773, sync_time:0.007286
iteration:17, F2F_time[s]:0.013912, H2H_time:0.006705, sync_time:0.007207
iteration:18, F2F_time[s]:0.013890, H2H_time:0.006613, sync_time:0.007276
iteration:19, F2F_time[s]:0.014356, H2H_time:0.007127, sync_time:0.007228
iteration:20, F2F_time[s]:0.015983, H2H_time:0.008721, sync_time:0.007263
iteration:21, F2F_time[s]:0.014102, H2H_time:0.006818, sync_time:0.007284
iteration:22, F2F_time[s]:0.015993, H2H_time:0.008707, sync_time:0.007286
iteration:23, F2F_time[s]:0.014059, H2H_time:0.006767, sync_time:0.007292
iteration:24, F2F_time[s]:0.024838, H2H_time:0.017550, sync_time:0.007288
iteration:25, F2F_time[s]:0.014091, H2H_time:0.006843, sync_time:0.007247
iteration:26, F2F_time[s]:0.014094, H2H_time:0.006854, sync_time:0.007240
iteration:27, F2F_time[s]:0.014668, H2H_time:0.007400, sync_time:0.007268
iteration:28, F2F_time[s]:0.015372, H2H_time:0.008088, sync_time:0.007283
iteration:29, F2F_time[s]:0.014104, H2H_time:0.006827, sync_time:0.007277
iteration:30, F2F_time[s]:0.015783, H2H_time:0.008505, sync_time:0.007278
iteration:31, F2F_time[s]:0.014098, H2H_time:0.006856, sync_time:0.007242
iteration:32, F2F_time[s]:0.015464, H2H_time:0.008200, sync_time:0.007264
iteration:33, F2F_time[s]:0.014071, H2H_time:0.006792, sync_time:0.007279
iteration:34, F2F_time[s]:0.013766, H2H_time:0.006557, sync_time:0.007210
iteration:35, F2F_time[s]:0.014713, H2H_time:0.007458, sync_time:0.007255
iteration:36, F2F_time[s]:0.014181, H2H_time:0.006911, sync_time:0.007270
iteration:37, F2F_time[s]:0.014763, H2H_time:0.007496, sync_time:0.007267
iteration:38, F2F_time[s]:0.015263, H2H_time:0.007992, sync_time:0.007271
iteration:39, F2F_time[s]:0.014160, H2H_time:0.006883, sync_time:0.007277
iteration:40, F2F_time[s]:0.016210, H2H_time:0.008927, sync_time:0.007282
iteration:41, F2F_time[s]:0.013968, H2H_time:0.006812, sync_time:0.007156
iteration:42, F2F_time[s]:0.015254, H2H_time:0.007982, sync_time:0.007272
iteration:43, F2F_time[s]:0.015706, H2H_time:0.008485, sync_time:0.007220
iteration:44, F2F_time[s]:0.013736, H2H_time:0.006501, sync_time:0.007235
iteration:45, F2F_time[s]:0.016089, H2H_time:0.008543, sync_time:0.007545
iteration:46, F2F_time[s]:0.013821, H2H_time:0.006599, sync_time:0.007223
iteration:47, F2F_time[s]:0.015945, H2H_time:0.008701, sync_time:0.007243
iteration:48, F2F_time[s]:0.014297, H2H_time:0.007031, sync_time:0.007266
iteration:49, F2F_time[s]:0.015855, H2H_time:0.008576, sync_time:0.007280
iteration:50, F2F_time[s]:0.013872, H2H_time:0.006584, sync_time:0.007289
