XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3c
alveo4c
alveo4b
alveo3b
alveo1a
alveo2b
alveo2a
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:33554432, num_elements:8388608, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:33554432, num_elements:8388608, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:200
Start Scatter test:
iteration:0, F2F_time[s]:0.018852, H2H_time:0.011573, sync_time:0.007280
iteration:1, F2F_time[s]:0.015461, H2H_time:0.008211, sync_time:0.007249
iteration:2, F2F_time[s]:0.014239, H2H_time:0.006989, sync_time:0.007250
iteration:3, F2F_time[s]:0.014789, H2H_time:0.007442, sync_time:0.007348
iteration:4, F2F_time[s]:0.014926, H2H_time:0.007652, sync_time:0.007274
iteration:5, F2F_time[s]:0.013965, H2H_time:0.006704, sync_time:0.007262
iteration:6, F2F_time[s]:0.015608, H2H_time:0.008247, sync_time:0.007361
iteration:7, F2F_time[s]:0.014121, H2H_time:0.006942, sync_time:0.007179
iteration:8, F2F_time[s]:0.015263, H2H_time:0.008071, sync_time:0.007192
iteration:9, F2F_time[s]:0.013947, H2H_time:0.006637, sync_time:0.007310
iteration:10, F2F_time[s]:0.015842, H2H_time:0.008524, sync_time:0.007318
iteration:11, F2F_time[s]:0.014007, H2H_time:0.006882, sync_time:0.007125
iteration:12, F2F_time[s]:0.015749, H2H_time:0.008477, sync_time:0.007272
iteration:13, F2F_time[s]:0.014068, H2H_time:0.006890, sync_time:0.007178
iteration:14, F2F_time[s]:0.015171, H2H_time:0.007980, sync_time:0.007191
iteration:15, F2F_time[s]:0.013841, H2H_time:0.006622, sync_time:0.007219
iteration:16, F2F_time[s]:0.015072, H2H_time:0.008072, sync_time:0.007000
iteration:17, F2F_time[s]:0.013741, H2H_time:0.006533, sync_time:0.007209
iteration:18, F2F_time[s]:0.013676, H2H_time:0.006485, sync_time:0.007191
iteration:19, F2F_time[s]:0.014717, H2H_time:0.007262, sync_time:0.007455
iteration:20, F2F_time[s]:0.015103, H2H_time:0.007779, sync_time:0.007324
iteration:21, F2F_time[s]:0.014229, H2H_time:0.006910, sync_time:0.007319
iteration:22, F2F_time[s]:0.015273, H2H_time:0.008027, sync_time:0.007246
iteration:23, F2F_time[s]:0.014110, H2H_time:0.006918, sync_time:0.007192
iteration:24, F2F_time[s]:0.015476, H2H_time:0.008319, sync_time:0.007157
iteration:25, F2F_time[s]:0.014070, H2H_time:0.006769, sync_time:0.007301
iteration:26, F2F_time[s]:0.014188, H2H_time:0.006931, sync_time:0.007257
iteration:27, F2F_time[s]:0.014459, H2H_time:0.007203, sync_time:0.007256
iteration:28, F2F_time[s]:0.015371, H2H_time:0.008073, sync_time:0.007298
iteration:29, F2F_time[s]:0.014016, H2H_time:0.006917, sync_time:0.007099
iteration:30, F2F_time[s]:0.015321, H2H_time:0.008146, sync_time:0.007175
iteration:31, F2F_time[s]:0.014000, H2H_time:0.006718, sync_time:0.007282
iteration:32, F2F_time[s]:0.015417, H2H_time:0.008167, sync_time:0.007250
iteration:33, F2F_time[s]:0.014090, H2H_time:0.006834, sync_time:0.007256
iteration:34, F2F_time[s]:0.015478, H2H_time:0.008233, sync_time:0.007245
iteration:35, F2F_time[s]:0.014235, H2H_time:0.006936, sync_time:0.007298
iteration:36, F2F_time[s]:0.015855, H2H_time:0.008643, sync_time:0.007212
iteration:37, F2F_time[s]:0.014022, H2H_time:0.006759, sync_time:0.007263
iteration:38, F2F_time[s]:0.015645, H2H_time:0.008293, sync_time:0.007352
iteration:39, F2F_time[s]:0.013881, H2H_time:0.006556, sync_time:0.007325
iteration:40, F2F_time[s]:0.015343, H2H_time:0.008213, sync_time:0.007130
iteration:41, F2F_time[s]:0.013985, H2H_time:0.006662, sync_time:0.007323
iteration:42, F2F_time[s]:0.015353, H2H_time:0.008094, sync_time:0.007259
iteration:43, F2F_time[s]:0.014106, H2H_time:0.006822, sync_time:0.007285
iteration:44, F2F_time[s]:0.015442, H2H_time:0.008223, sync_time:0.007219
iteration:45, F2F_time[s]:0.013866, H2H_time:0.006690, sync_time:0.007176
iteration:46, F2F_time[s]:0.013924, H2H_time:0.006654, sync_time:0.007270
iteration:47, F2F_time[s]:0.014518, H2H_time:0.007228, sync_time:0.007290
iteration:48, F2F_time[s]:0.015405, H2H_time:0.008096, sync_time:0.007309
iteration:49, F2F_time[s]:0.013949, H2H_time:0.006650, sync_time:0.007299
iteration:50, F2F_time[s]:0.015110, H2H_time:0.007797, sync_time:0.007313
iteration:51, F2F_time[s]:0.026355, H2H_time:0.019057, sync_time:0.007297
iteration:52, F2F_time[s]:0.014189, H2H_time:0.006984, sync_time:0.007205
iteration:53, F2F_time[s]:0.013696, H2H_time:0.006506, sync_time:0.007190
iteration:54, F2F_time[s]:0.015256, H2H_time:0.007942, sync_time:0.007314
iteration:55, F2F_time[s]:0.013779, H2H_time:0.006526, sync_time:0.007253
iteration:56, F2F_time[s]:0.015182, H2H_time:0.007870, sync_time:0.007313
