XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4194304, num_elements:1048576, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4194304, num_elements:1048576, num_trials:200
Start Scatter test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4194304, num_elements:1048576, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4194304, num_elements:1048576, num_trials:200
iteration:0, F2F_time[s]:0.003654, H2H_time:0.002181, sync_time:0.001473
iteration:1, F2F_time[s]:0.002856, H2H_time:0.001342, sync_time:0.001514
iteration:2, F2F_time[s]:0.002523, H2H_time:0.001022, sync_time:0.001502
iteration:3, F2F_time[s]:0.002824, H2H_time:0.001289, sync_time:0.001536
iteration:4, F2F_time[s]:0.002684, H2H_time:0.001156, sync_time:0.001528
iteration:5, F2F_time[s]:0.002722, H2H_time:0.001189, sync_time:0.001533
iteration:6, F2F_time[s]:0.002527, H2H_time:0.001068, sync_time:0.001458
iteration:7, F2F_time[s]:0.002646, H2H_time:0.001112, sync_time:0.001533
iteration:8, F2F_time[s]:0.002374, H2H_time:0.000946, sync_time:0.001428
iteration:9, F2F_time[s]:0.002568, H2H_time:0.001104, sync_time:0.001463
iteration:10, F2F_time[s]:0.002825, H2H_time:0.001378, sync_time:0.001447
iteration:11, F2F_time[s]:0.002876, H2H_time:0.001420, sync_time:0.001456
iteration:12, F2F_time[s]:0.002730, H2H_time:0.001202, sync_time:0.001528
iteration:13, F2F_time[s]:0.002864, H2H_time:0.001417, sync_time:0.001447
iteration:14, F2F_time[s]:0.002866, H2H_time:0.001330, sync_time:0.001536
iteration:15, F2F_time[s]:0.002609, H2H_time:0.001142, sync_time:0.001467
iteration:16, F2F_time[s]:0.002507, H2H_time:0.001058, sync_time:0.001449
iteration:17, F2F_time[s]:0.002535, H2H_time:0.000990, sync_time:0.001545
iteration:18, F2F_time[s]:0.002547, H2H_time:0.001125, sync_time:0.001422
iteration:19, F2F_time[s]:0.002809, H2H_time:0.001351, sync_time:0.001458
iteration:20, F2F_time[s]:0.002687, H2H_time:0.001269, sync_time:0.001417
iteration:21, F2F_time[s]:0.002800, H2H_time:0.001264, sync_time:0.001536
iteration:22, F2F_time[s]:0.002699, H2H_time:0.001258, sync_time:0.001442
iteration:23, F2F_time[s]:0.002612, H2H_time:0.001184, sync_time:0.001427
iteration:24, F2F_time[s]:0.002914, H2H_time:0.001399, sync_time:0.001514
iteration:25, F2F_time[s]:0.002823, H2H_time:0.001404, sync_time:0.001419
iteration:26, F2F_time[s]:0.002862, H2H_time:0.001193, sync_time:0.001669
iteration:27, F2F_time[s]:0.002616, H2H_time:0.001148, sync_time:0.001468
iteration:28, F2F_time[s]:0.002479, H2H_time:0.001060, sync_time:0.001419
iteration:29, F2F_time[s]:0.002560, H2H_time:0.001072, sync_time:0.001488
iteration:30, F2F_time[s]:0.002692, H2H_time:0.001140, sync_time:0.001552
iteration:31, F2F_time[s]:0.002525, H2H_time:0.001091, sync_time:0.001435
iteration:32, F2F_time[s]:0.002570, H2H_time:0.001087, sync_time:0.001483
iteration:33, F2F_time[s]:0.002659, H2H_time:0.001218, sync_time:0.001441
iteration:34, F2F_time[s]:0.002551, H2H_time:0.001076, sync_time:0.001475
iteration:35, F2F_time[s]:0.003062, H2H_time:0.001316, sync_time:0.001746
iteration:36, F2F_time[s]:0.002877, H2H_time:0.001422, sync_time:0.001455
iteration:37, F2F_time[s]:0.002913, H2H_time:0.001376, sync_time:0.001536
iteration:38, F2F_time[s]:0.002445, H2H_time:0.001078, sync_time:0.001367
iteration:39, F2F_time[s]:0.002534, H2H_time:0.001123, sync_time:0.001411
