alveo1a, bytes:16777216, num_elements:4194304, num_trials:100
alveo4c, bytes:16777216, num_elements:4194304, num_trials:100
alveo3b, bytes:16777216, num_elements:4194304, num_trials:100
alveo4b, bytes:16777216, num_elements:4194304, num_trials:100
alveo2b, bytes:16777216, num_elements:4194304, num_trials:100
alveo2a, bytes:16777216, num_elements:4194304, num_trials:100
alveo1b, bytes:16777216, num_elements:4194304, num_trials:100
iteration:0, time[s]:0.014750
iteration:1, time[s]:0.004250
iteration:2, time[s]:0.003260
iteration:3, time[s]:0.002987
iteration:4, time[s]:0.002728
iteration:5, time[s]:0.002536
iteration:6, time[s]:0.002417
iteration:7, time[s]:0.002436
iteration:8, time[s]:0.002597
iteration:9, time[s]:0.002491
iteration:10, time[s]:0.002464
iteration:11, time[s]:0.002480
iteration:12, time[s]:0.002417
iteration:13, time[s]:0.002287
iteration:14, time[s]:0.017385
iteration:15, time[s]:0.002562
iteration:16, time[s]:0.002527
iteration:17, time[s]:0.002426
iteration:18, time[s]:0.002517
iteration:19, time[s]:0.002615
iteration:20, time[s]:0.002435
iteration:21, time[s]:0.002498
iteration:22, time[s]:0.002375
iteration:23, time[s]:0.002520
iteration:24, time[s]:0.002532
iteration:25, time[s]:0.017513
iteration:26, time[s]:0.002507
iteration:27, time[s]:0.002488
iteration:28, time[s]:0.002445
iteration:29, time[s]:0.002440
iteration:30, time[s]:0.002428
iteration:31, time[s]:0.005976
iteration:32, time[s]:0.002464
iteration:33, time[s]:0.002348
iteration:34, time[s]:0.002419
iteration:35, time[s]:0.002404
iteration:36, time[s]:0.002432
iteration:37, time[s]:0.002391
iteration:38, time[s]:0.002430
iteration:39, time[s]:0.002355
iteration:40, time[s]:0.002552
iteration:41, time[s]:0.002359
iteration:42, time[s]:0.002452
iteration:43, time[s]:0.002502
iteration:44, time[s]:0.002464
iteration:45, time[s]:0.002544
iteration:46, time[s]:0.002481
iteration:47, time[s]:0.002392
iteration:48, time[s]:0.002478
iteration:49, time[s]:0.002433
iteration:50, time[s]:0.002433
iteration:51, time[s]:0.002484
iteration:52, time[s]:0.002518
iteration:53, time[s]:0.002370
iteration:54, time[s]:0.002369
iteration:55, time[s]:0.002379
iteration:56, time[s]:0.002375
iteration:57, time[s]:0.002479
iteration:58, time[s]:0.002377
iteration:59, time[s]:0.002401
iteration:60, time[s]:0.002453
iteration:61, time[s]:0.002400
iteration:62, time[s]:0.002496
iteration:63, time[s]:0.002513
iteration:64, time[s]:0.002524
iteration:65, time[s]:0.002508
iteration:66, time[s]:0.002540
iteration:67, time[s]:0.002429
iteration:68, time[s]:0.002460
iteration:69, time[s]:0.002536
iteration:70, time[s]:0.002503
iteration:71, time[s]:0.002478
iteration:72, time[s]:0.002498
iteration:73, time[s]:0.002418
iteration:74, time[s]:0.002500
iteration:75, time[s]:0.002448
iteration:76, time[s]:0.002485
iteration:77, time[s]:0.002567
iteration:78, time[s]:0.002435
iteration:79, time[s]:0.002411
iteration:80, time[s]:0.002512
iteration:81, time[s]:0.002491
iteration:82, time[s]:0.002643
iteration:83, time[s]:0.002534
iteration:84, time[s]:0.002598
iteration:85, time[s]:0.002446
iteration:86, time[s]:0.002539
iteration:87, time[s]:0.002566
iteration:88, time[s]:0.002539
iteration:89, time[s]:0.002497
iteration:90, time[s]:0.002501
iteration:91, time[s]:0.002653
iteration:92, time[s]:0.002399
iteration:93, time[s]:0.002416
iteration:94, time[s]:0.002452
iteration:95, time[s]:0.002325
iteration:96, time[s]:0.002379
iteration:97, time[s]:0.002455
iteration:98, time[s]:0.002453
iteration:99, time[s]:0.002425
iteration:100, time[s]:0.002451
Per rank recv element count:599186, byte count:2396744, trials:100, Avg MPI_Scatter time [us]= *2835.025010
