alveo1a, bytes:33554432, num_elements:8388608, num_trials:100
alveo2a, bytes:33554432, num_elements:8388608, num_trials:100
alveo1b, bytes:33554432, num_elements:8388608, num_trials:100
iteration:0, time[s]:0.027966
iteration:1, time[s]:0.008795
iteration:2, time[s]:0.007288
iteration:3, time[s]:0.006445
iteration:4, time[s]:0.006551
iteration:5, time[s]:0.006313
iteration:6, time[s]:0.005390
iteration:7, time[s]:0.005359
iteration:8, time[s]:0.005780
iteration:9, time[s]:0.005663
iteration:10, time[s]:0.005526
iteration:11, time[s]:0.005183
iteration:12, time[s]:0.005345
iteration:13, time[s]:0.005329
iteration:14, time[s]:0.005166
iteration:15, time[s]:0.004967
iteration:16, time[s]:0.005094
iteration:17, time[s]:0.004791
iteration:18, time[s]:0.004829
iteration:19, time[s]:0.004719
iteration:20, time[s]:0.004643
iteration:21, time[s]:0.004578
iteration:22, time[s]:0.004611
iteration:23, time[s]:0.005029
iteration:24, time[s]:0.004940
iteration:25, time[s]:0.004607
iteration:26, time[s]:0.004831
iteration:27, time[s]:0.004531
iteration:28, time[s]:0.005122
iteration:29, time[s]:0.005075
iteration:30, time[s]:0.005408
iteration:31, time[s]:0.005459
iteration:32, time[s]:0.005066
iteration:33, time[s]:0.005274
iteration:34, time[s]:0.005171
iteration:35, time[s]:0.004858
iteration:36, time[s]:0.004833
iteration:37, time[s]:0.005807
iteration:38, time[s]:0.005920
iteration:39, time[s]:0.005564
iteration:40, time[s]:0.005743
iteration:41, time[s]:0.005358
iteration:42, time[s]:0.005684
iteration:43, time[s]:0.005718
iteration:44, time[s]:0.005470
iteration:45, time[s]:0.005509
iteration:46, time[s]:0.005519
iteration:47, time[s]:0.005044
iteration:48, time[s]:0.005392
iteration:49, time[s]:0.005971
iteration:50, time[s]:0.005421
iteration:51, time[s]:0.005529
iteration:52, time[s]:0.005494
iteration:53, time[s]:0.005726
iteration:54, time[s]:0.005561
iteration:55, time[s]:0.004856
iteration:56, time[s]:0.005249
iteration:57, time[s]:0.005526
iteration:58, time[s]:0.005707
iteration:59, time[s]:0.005507
iteration:60, time[s]:0.005293
iteration:61, time[s]:0.005446
iteration:62, time[s]:0.005134
iteration:63, time[s]:0.004815
iteration:64, time[s]:0.005217
iteration:65, time[s]:0.005615
iteration:66, time[s]:0.005721
iteration:67, time[s]:0.005075
iteration:68, time[s]:0.005807
iteration:69, time[s]:0.005567
iteration:70, time[s]:0.005426
iteration:71, time[s]:0.005297
iteration:72, time[s]:0.005383
iteration:73, time[s]:0.005299
iteration:74, time[s]:0.004927
iteration:75, time[s]:0.005714
iteration:76, time[s]:0.005793
iteration:77, time[s]:0.005977
iteration:78, time[s]:0.005763
iteration:79, time[s]:0.005566
iteration:80, time[s]:0.005635
iteration:81, time[s]:0.005782
iteration:82, time[s]:0.005752
iteration:83, time[s]:0.005752
iteration:84, time[s]:0.005591
iteration:85, time[s]:0.005484
iteration:86, time[s]:0.005080
iteration:87, time[s]:0.005234
iteration:88, time[s]:0.005898
iteration:89, time[s]:0.005921
iteration:90, time[s]:0.005124
iteration:91, time[s]:0.005326
iteration:92, time[s]:0.004902
iteration:93, time[s]:0.004697
iteration:94, time[s]:0.005286
iteration:95, time[s]:0.005016
iteration:96, time[s]:0.005488
iteration:97, time[s]:0.005633
iteration:98, time[s]:0.005728
iteration:99, time[s]:0.005735
iteration:100, time[s]:0.005439
Per rank recv element count:2796202, byte count:11184808, trials:100, Avg MPI_Scatter time [us]= *5431.857580
