alveo1a, bytes:33554432, num_elements:8388608, num_trials:100
alveo3c, bytes:33554432, num_elements:8388608, num_trials:100
alveo4c, bytes:33554432, num_elements:8388608, num_trials:100
alveo4b, bytes:33554432, num_elements:8388608, num_trials:100
alveo3b, bytes:33554432, num_elements:8388608, num_trials:100
alveo1b, bytes:33554432, num_elements:8388608, num_trials:100
alveo2a, bytes:33554432, num_elements:8388608, num_trials:100
alveo2b, bytes:33554432, num_elements:8388608, num_trials:100
iteration:0, time[s]:0.033679
iteration:1, time[s]:0.011264
iteration:2, time[s]:0.007512
iteration:3, time[s]:0.006398
iteration:4, time[s]:0.006420
iteration:5, time[s]:0.005037
iteration:6, time[s]:0.004945
iteration:7, time[s]:0.004921
iteration:8, time[s]:0.004793
iteration:9, time[s]:0.004707
iteration:10, time[s]:0.004913
iteration:11, time[s]:0.004904
iteration:12, time[s]:0.004994
iteration:13, time[s]:0.004808
iteration:14, time[s]:0.005026
iteration:15, time[s]:0.004882
iteration:16, time[s]:0.004868
iteration:17, time[s]:0.004838
iteration:18, time[s]:0.004775
iteration:19, time[s]:0.004887
iteration:20, time[s]:0.004900
iteration:21, time[s]:0.004959
iteration:22, time[s]:0.004825
iteration:23, time[s]:0.004914
iteration:24, time[s]:0.004728
iteration:25, time[s]:0.004665
iteration:26, time[s]:0.005040
iteration:27, time[s]:0.004948
iteration:28, time[s]:0.005002
iteration:29, time[s]:0.004900
iteration:30, time[s]:0.005070
iteration:31, time[s]:0.005202
iteration:32, time[s]:0.005068
iteration:33, time[s]:0.005077
iteration:34, time[s]:0.005089
iteration:35, time[s]:0.005094
iteration:36, time[s]:0.005041
iteration:37, time[s]:0.005147
iteration:38, time[s]:0.004945
iteration:39, time[s]:0.005206
iteration:40, time[s]:0.005047
iteration:41, time[s]:0.005121
iteration:42, time[s]:0.005182
iteration:43, time[s]:0.005213
iteration:44, time[s]:0.005082
iteration:45, time[s]:0.005073
iteration:46, time[s]:0.005097
iteration:47, time[s]:0.005042
iteration:48, time[s]:0.005064
iteration:49, time[s]:0.005285
iteration:50, time[s]:0.005042
iteration:51, time[s]:0.005153
iteration:52, time[s]:0.005034
iteration:53, time[s]:0.005114
iteration:54, time[s]:0.004883
iteration:55, time[s]:0.005137
iteration:56, time[s]:0.005009
iteration:57, time[s]:0.005289
iteration:58, time[s]:0.005230
iteration:59, time[s]:0.004896
iteration:60, time[s]:0.005348
iteration:61, time[s]:0.005071
iteration:62, time[s]:0.005136
iteration:63, time[s]:0.005065
iteration:64, time[s]:0.005174
iteration:65, time[s]:0.005201
iteration:66, time[s]:0.005193
iteration:67, time[s]:0.005419
iteration:68, time[s]:0.005417
iteration:69, time[s]:0.005185
iteration:70, time[s]:0.004996
iteration:71, time[s]:0.005057
iteration:72, time[s]:0.005106
iteration:73, time[s]:0.005168
iteration:74, time[s]:0.004942
iteration:75, time[s]:0.005113
iteration:76, time[s]:0.004870
iteration:77, time[s]:0.004856
iteration:78, time[s]:0.004972
iteration:79, time[s]:0.005293
iteration:80, time[s]:0.005017
iteration:81, time[s]:0.005125
iteration:82, time[s]:0.004897
iteration:83, time[s]:0.005079
iteration:84, time[s]:0.005161
iteration:85, time[s]:0.005252
iteration:86, time[s]:0.005303
iteration:87, time[s]:0.005200
iteration:88, time[s]:0.005038
iteration:89, time[s]:0.005134
iteration:90, time[s]:0.005275
iteration:91, time[s]:0.005093
iteration:92, time[s]:0.005040
iteration:93, time[s]:0.005183
iteration:94, time[s]:0.004992
iteration:95, time[s]:0.005187
iteration:96, time[s]:0.005413
iteration:97, time[s]:0.005193
iteration:98, time[s]:0.005144
iteration:99, time[s]:0.005196
iteration:100, time[s]:0.005036
Per rank recv element count:1048576, byte count:4194304, trials:100, Avg MPI_Scatter time [us]= *5172.464420
