alveo1a, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo3b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo1b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2a, bytes:4194304, num_elements:1048576, num_trials:1000
iteration:0, time[s]:0.004523
iteration:1, time[s]:0.001400
iteration:2, time[s]:0.001012
iteration:3, time[s]:0.000957
iteration:4, time[s]:0.000953
iteration:5, time[s]:0.000810
iteration:6, time[s]:0.000803
iteration:7, time[s]:0.000796
iteration:8, time[s]:0.000946
iteration:9, time[s]:0.001010
iteration:10, time[s]:0.000825
iteration:11, time[s]:0.000897
iteration:12, time[s]:0.000894
iteration:13, time[s]:0.000673
iteration:14, time[s]:0.000796
iteration:15, time[s]:0.000805
iteration:16, time[s]:0.000739
iteration:17, time[s]:0.000776
iteration:18, time[s]:0.000719
iteration:19, time[s]:0.000736
iteration:20, time[s]:0.000743
iteration:21, time[s]:0.000739
iteration:22, time[s]:0.000844
iteration:23, time[s]:0.000833
iteration:24, time[s]:0.000802
iteration:25, time[s]:0.000675
iteration:26, time[s]:0.000658
iteration:27, time[s]:0.000625
iteration:28, time[s]:0.000704
iteration:29, time[s]:0.000643
iteration:30, time[s]:0.000598
iteration:31, time[s]:0.000657
iteration:32, time[s]:0.000650
iteration:33, time[s]:0.000636
iteration:34, time[s]:0.000654
iteration:35, time[s]:0.000648
iteration:36, time[s]:0.000708
iteration:37, time[s]:0.000680
iteration:38, time[s]:0.000726
iteration:39, time[s]:0.000722
iteration:40, time[s]:0.000681
iteration:41, time[s]:0.000682
iteration:42, time[s]:0.000782
iteration:43, time[s]:0.000629
iteration:44, time[s]:0.000734
iteration:45, time[s]:0.000722
iteration:46, time[s]:0.000665
iteration:47, time[s]:0.000780
iteration:48, time[s]:0.000718
iteration:49, time[s]:0.000710
iteration:50, time[s]:0.000709
iteration:51, time[s]:0.000721
iteration:52, time[s]:0.000752
iteration:53, time[s]:0.000685
iteration:54, time[s]:0.000660
iteration:55, time[s]:0.000717
iteration:56, time[s]:0.000705
iteration:57, time[s]:0.000714
iteration:58, time[s]:0.000671
iteration:59, time[s]:0.000755
iteration:60, time[s]:0.000663
iteration:61, time[s]:0.000718
iteration:62, time[s]:0.000618
iteration:63, time[s]:0.000753
iteration:64, time[s]:0.000710
iteration:65, time[s]:0.000710
iteration:66, time[s]:0.000707
iteration:67, time[s]:0.000697
iteration:68, time[s]:0.000713
iteration:69, time[s]:0.000746
iteration:70, time[s]:0.000615
iteration:71, time[s]:0.000688
iteration:72, time[s]:0.000680
iteration:73, time[s]:0.000688
iteration:74, time[s]:0.000692
iteration:75, time[s]:0.000621
iteration:76, time[s]:0.000630
iteration:77, time[s]:0.000583
iteration:78, time[s]:0.000625
iteration:79, time[s]:0.000651
iteration:80, time[s]:0.000672
iteration:81, time[s]:0.000664
iteration:82, time[s]:0.000694
iteration:83, time[s]:0.000626
iteration:84, time[s]:0.000699
iteration:85, time[s]:0.000641
iteration:86, time[s]:0.000682
iteration:87, time[s]:0.000738
iteration:88, time[s]:0.000609
iteration:89, time[s]:0.000669
iteration:90, time[s]:0.000662
iteration:91, time[s]:0.000663
iteration:92, time[s]:0.000737
iteration:93, time[s]:0.000685
iteration:94, time[s]:0.000680
iteration:95, time[s]:0.000590
iteration:96, time[s]:0.000748
iteration:97, time[s]:0.000728
iteration:98, time[s]:0.000657
iteration:99, time[s]:0.000732
iteration:100, time[s]:0.000584
iteration:101, time[s]:0.000619
iteration:102, time[s]:0.000706
iteration:103, time[s]:0.000673
iteration:104, time[s]:0.000728
iteration:105, time[s]:0.000732
iteration:106, time[s]:0.000667
iteration:107, time[s]:0.000649
iteration:108, time[s]:0.000593
iteration:109, time[s]:0.000702
iteration:110, time[s]:0.000639
iteration:111, time[s]:0.000624
iteration:112, time[s]:0.000560
iteration:113, time[s]:0.000595
iteration:114, time[s]:0.000563
iteration:115, time[s]:0.000629
iteration:116, time[s]:0.000590
iteration:117, time[s]:0.000614
iteration:118, time[s]:0.000619
iteration:119, time[s]:0.000611
iteration:120, time[s]:0.000631
iteration:121, time[s]:0.000629
iteration:122, time[s]:0.000539
iteration:123, time[s]:0.000625
iteration:124, time[s]:0.000620
iteration:125, time[s]:0.000623
iteration:126, time[s]:0.000565
iteration:127, time[s]:0.000531
iteration:128, time[s]:0.000578
iteration:129, time[s]:0.000618
iteration:130, time[s]:0.000554
iteration:131, time[s]:0.000645
iteration:132, time[s]:0.000625
iteration:133, time[s]:0.000611
iteration:134, time[s]:0.000705
iteration:135, time[s]:0.000564
iteration:136, time[s]:0.000515
iteration:137, time[s]:0.000630
iteration:138, time[s]:0.000651
iteration:139, time[s]:0.000580
iteration:140, time[s]:0.000593
iteration:141, time[s]:0.000613
iteration:142, time[s]:0.000582
iteration:143, time[s]:0.000620
iteration:144, time[s]:0.000624
iteration:145, time[s]:0.000584
