XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1024, num_elements:256, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1024, num_elements:256, num_trials:200
Start Send/Recv test:
iteration:0, F2F_time[s]:0.000264, H2H_time:0.000047, sync_time:0.000217
iteration:1, F2F_time[s]:0.000114, H2H_time:0.000029, sync_time:0.000086
iteration:2, F2F_time[s]:0.000110, H2H_time:0.000043, sync_time:0.000067
iteration:3, F2F_time[s]:0.000129, H2H_time:0.000034, sync_time:0.000096
iteration:4, F2F_time[s]:0.000102, H2H_time:0.000032, sync_time:0.000071
iteration:5, F2F_time[s]:0.000098, H2H_time:0.000032, sync_time:0.000066
iteration:6, F2F_time[s]:0.000092, H2H_time:0.000036, sync_time:0.000056
iteration:7, F2F_time[s]:0.000097, H2H_time:0.000037, sync_time:0.000060
iteration:8, F2F_time[s]:0.000185, H2H_time:0.000143, sync_time:0.000042
iteration:9, F2F_time[s]:0.000092, H2H_time:0.000044, sync_time:0.000049
iteration:10, F2F_time[s]:0.000083, H2H_time:0.000037, sync_time:0.000046
iteration:11, F2F_time[s]:0.000087, H2H_time:0.000034, sync_time:0.000053
iteration:12, F2F_time[s]:0.000077, H2H_time:0.000027, sync_time:0.000050
iteration:13, F2F_time[s]:0.000080, H2H_time:0.000028, sync_time:0.000052
iteration:14, F2F_time[s]:0.000088, H2H_time:0.000039, sync_time:0.000049
iteration:15, F2F_time[s]:0.000077, H2H_time:0.000027, sync_time:0.000050
iteration:16, F2F_time[s]:0.000094, H2H_time:0.000024, sync_time:0.000069
iteration:17, F2F_time[s]:0.000082, H2H_time:0.000037, sync_time:0.000044
iteration:18, F2F_time[s]:0.000088, H2H_time:0.000030, sync_time:0.000058
iteration:19, F2F_time[s]:0.000090, H2H_time:0.000025, sync_time:0.000065
iteration:20, F2F_time[s]:0.000114, H2H_time:0.000024, sync_time:0.000090
iteration:21, F2F_time[s]:0.000075, H2H_time:0.000028, sync_time:0.000047
iteration:22, F2F_time[s]:0.000069, H2H_time:0.000025, sync_time:0.000044
iteration:23, F2F_time[s]:0.000077, H2H_time:0.000037, sync_time:0.000040
iteration:24, F2F_time[s]:0.000071, H2H_time:0.000025, sync_time:0.000046
iteration:25, F2F_time[s]:0.000070, H2H_time:0.000025, sync_time:0.000045
iteration:26, F2F_time[s]:0.000083, H2H_time:0.000025, sync_time:0.000059
iteration:27, F2F_time[s]:0.000075, H2H_time:0.000039, sync_time:0.000036
iteration:28, F2F_time[s]:0.000072, H2H_time:0.000025, sync_time:0.000046
iteration:29, F2F_time[s]:0.000075, H2H_time:0.000029, sync_time:0.000046
iteration:30, F2F_time[s]:0.000105, H2H_time:0.000065, sync_time:0.000040
iteration:31, F2F_time[s]:0.000085, H2H_time:0.000034, sync_time:0.000051
iteration:32, F2F_time[s]:0.000071, H2H_time:0.000027, sync_time:0.000044
iteration:33, F2F_time[s]:0.000075, H2H_time:0.000037, sync_time:0.000038
iteration:34, F2F_time[s]:0.000097, H2H_time:0.000030, sync_time:0.000067
iteration:35, F2F_time[s]:0.000087, H2H_time:0.000024, sync_time:0.000063
iteration:36, F2F_time[s]:0.000071, H2H_time:0.000025, sync_time:0.000046
iteration:37, F2F_time[s]:0.000076, H2H_time:0.000039, sync_time:0.000036
iteration:38, F2F_time[s]:0.000070, H2H_time:0.000025, sync_time:0.000045
iteration:39, F2F_time[s]:0.000071, H2H_time:0.000023, sync_time:0.000048
iteration:40, F2F_time[s]:0.000068, H2H_time:0.000024, sync_time:0.000043
iteration:41, F2F_time[s]:0.000067, H2H_time:0.000024, sync_time:0.000043
iteration:42, F2F_time[s]:0.000085, H2H_time:0.000026, sync_time:0.000059
iteration:43, F2F_time[s]:0.000072, H2H_time:0.000036, sync_time:0.000036
iteration:44, F2F_time[s]:0.000088, H2H_time:0.000027, sync_time:0.000060
iteration:45, F2F_time[s]:0.000091, H2H_time:0.000025, sync_time:0.000066
iteration:46, F2F_time[s]:0.000087, H2H_time:0.000026, sync_time:0.000060
